,0
2002-05-31,0.0
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,0.0
2002-12-31,0.0
2003-01-31,0.0
2003-02-28,0.0
2003-03-31,0.0
2003-04-30,0.0
2003-05-31,0.0
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.0
2003-11-30,0.0
2003-12-31,0.0
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.0
2004-12-31,0.0
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.0
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0
2005-12-31,0.0
2006-01-31,0.0
2006-02-28,0.0
2006-03-31,0.0
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.025855351980376792
2007-07-31,-0.026663586453634976
2007-08-31,-0.04075319798443673
2007-09-30,0.020168337133202062
2007-10-31,0.026877420655001035
2007-11-30,-0.03508724391589424
2007-12-31,-0.021043530526040122
2008-01-31,-0.08785786676822013
2008-02-29,-0.006609156035928542
2008-03-31,-0.049759393073193894
2008-04-30,0.08888005769358115
2008-05-31,0.026871961544103422
2008-06-30,-0.05432131001242881
2008-07-31,-0.0064954084846314845
2008-08-31,-0.02873574463153564
2008-09-30,-0.12808762973229998
2008-10-31,-0.1480106341787116
2008-11-30,-0.047659036446326505
2008-12-31,-0.03517568860491213
2009-01-31,-0.03943563111780081
2009-02-28,-0.06843425337443212
2009-03-31,0.02800663932370944
2009-04-30,0.1017260403998452
2009-05-31,0.03586106327361786
2009-06-30,0.00989820725989365
2009-07-31,0.08619974211579429
2009-08-31,0.05150273303332332
2009-09-30,0.029414657230510954
2009-10-31,-0.009410215958500447
2009-11-30,-0.0013782644033053808
2009-12-31,0.03958006573355921
2010-01-31,-0.00996927345546661
2010-02-28,0.03415496585341593
2010-03-31,0.04726805457209681
2010-04-30,-0.017585216896701
2010-05-31,-0.03829702600387533
2010-06-30,-0.020729115393763004
2010-07-31,0.029648309678710797
2010-08-31,-0.007529021772411586
2010-09-30,0.03086508933580449
2010-10-31,0.022792980292278393
2010-11-30,-0.016943091580472698
2010-12-31,0.027786400822974244
2011-01-31,0.0011043458136128508
2011-02-28,0.02814254700017193
2011-03-31,-0.02269266303553908
2011-04-30,0.03627557385591973
2011-05-31,-0.004060740240048558
2011-06-30,-0.05726940814515817
2011-07-31,-0.07833524694124301
2011-08-31,-0.04715074549666455
2011-09-30,-0.030083837064181492
2011-10-31,0.044755487927286244
2011-11-30,-0.01755652098770199
2011-12-31,0.036194738838660756
2012-01-31,0.02067869214002837
2012-02-29,0.03687300741448596
2012-03-31,0.009362864681368554
2012-04-30,-0.008495423384488703
2012-05-31,-0.0447256730542098
2012-06-30,0.0366816237439302
2012-07-31,0.03185076933855718
2012-08-31,0.007634278967013182
2012-09-30,0.01629897964318198
2012-10-31,0.013544848429174063
2012-11-30,0.02625294075208813
2012-12-31,0.0057755806535731615
2013-01-31,0.06612663560615839
2013-02-28,0.02945134970360569
2013-03-31,0.020417781360575888
2013-04-30,0.021785979488547328
2013-05-31,0.005594712693008513
2013-06-30,-0.03217710434754052
2013-07-31,0.045685557911190805
2013-08-31,-0.014793742548659693
2013-09-30,0.021974622469969538
2013-10-31,0.026419365058916844
2013-11-30,-0.002127766947083245
2013-12-31,0.014383787323327957
2014-01-31,-0.025643256261617384
2014-02-28,0.02931488070606611
2014-03-31,-0.002188570000500181
2014-04-30,0.010408559998664989
2014-05-31,0.028942279677815007
2014-06-30,-0.013866394743961896
2014-07-31,-0.0280152035014814
2014-08-31,0.020222167709910505
2014-09-30,0.0050167436580888175
2014-10-31,-0.008591628039790349
2014-11-30,0.049757923026310366
2014-12-31,-0.005481910764780565
2015-01-31,-0.0035237685144110104
2015-02-28,0.07441472360092721
2015-03-31,0.03274014326659607
2015-04-30,-0.001504354652763066
2015-05-31,0.022971695762960653
2015-06-30,-0.026925806048830065
2015-07-31,0.021030719816050657
2015-08-31,-0.07522435989747722
2015-09-30,-0.07124794159857335
2015-10-31,0.09807124056663948
2015-11-30,0.018309102374789655
2015-12-31,-0.017936516541095404
2016-01-31,-0.06748661915209186
2016-02-29,-0.08686460419995189
2016-03-31,0.05116637150762804
2016-04-30,0.005961377089730441
2016-05-31,0.032112499631718576
2016-06-30,-0.08920651109584794
2016-07-31,0.061480824250511386
2016-08-31,0.008882502981658942
2016-09-30,0.005370557941032053
2016-10-31,0.015205331636738328
2016-11-30,0.01898439620912329
2016-12-31,0.038730131642972905
2017-01-31,0.0037443908795846657
2017-02-28,0.012290467033716298
2017-03-31,-0.0014750987114386658
2017-04-30,0.014511627357084224
2017-05-31,0.032042747132248764
2017-06-30,0.00658099844311347
2017-07-31,0.003691791011276507
2017-08-31,0.0062196037524534205
2017-09-30,0.04387429558630351
2017-10-31,0.05554722158437641
2017-11-30,0.02136334876712541
2017-12-31,0.01871159408811085
2018-01-31,0.01781987764866577
2018-02-28,-0.03119609488611719
