Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.045378, , 
       -14.75,     -1.025948, , 
        -14.5,     -1.007079, , 
       -14.25,    -0.9880522, , 
          -14,    -0.9689864, , 
       -13.75,    -0.9497531, , 
        -13.5,     -0.930532, , 
       -13.25,    -0.9111613, , 
          -13,    -0.8917267, , 
       -12.75,    -0.8722308, , 
        -12.5,    -0.8526267, , 
       -12.25,    -0.8329915, , 
          -12,    -0.8132897, , 
       -11.75,    -0.7935095, , 
        -11.5,    -0.7737022, , 
       -11.25,    -0.7538166, , 
          -11,    -0.7338882, , 
       -10.75,    -0.7139229, , 
        -10.5,    -0.6938971, , 
       -10.25,    -0.6738388, , 
          -10,    -0.6537305, , 
        -9.75,    -0.6335908, , 
         -9.5,    -0.6134133, , 
        -9.25,    -0.5931935, , 
           -9,    -0.5729503, , 
        -8.75,    -0.5526639, , 
         -8.5,    -0.5323563, , 
        -8.25,    -0.5120162, , 
           -8,    -0.4916429, , 
        -7.75,    -0.4712567, , 
         -7.5,    -0.4508332, , 
        -7.25,    -0.4303907, , 
           -7,    -0.4099299, , 
        -6.75,    -0.3894423, , 
         -6.5,    -0.3689389, , 
        -6.25,     -0.348413, , 
           -6,    -0.3278727, , 
        -5.75,    -0.3073159, , 
         -5.5,     -0.286741, , 
        -5.25,    -0.2661564, , 
           -5,    -0.2455527, , 
        -4.75,    -0.2249412, , 
         -4.5,    -0.2043172, , 
        -4.25,    -0.1836802, , 
           -4,    -0.1630385, , 
        -3.75,    -0.1423827, , 
         -3.5,    -0.1217229, , 
        -3.25,    -0.1010557, , 
           -3,   -0.08037772, , 
        -2.75,   -0.05969997, , 
         -2.5,   -0.03901784, , 
        -2.25,   -0.01833313, , 
           -2,   0.002351466, , 
        -1.75,    0.02304223, , 
         -1.5,    0.04373294, , 
        -1.25,    0.06442308, , 
           -1,    0.08511183, , 
        -0.75,     0.1058006, , 
         -0.5,     0.1264844, , 
        -0.25,     0.1471653, , 
            0,     0.1678436, , 
         0.25,     0.1885138, , 
          0.5,      0.209181, , 
         0.75,     0.2298391, , 
            1,     0.2504891, , 
         1.25,     0.2711333, , 
          1.5,      0.291764, , 
         1.75,     0.3123881, , 
            2,     0.3329983, , 
         2.25,     0.3535962, , 
          2.5,     0.3741831, , 
         2.75,     0.3947533, , 
            3,     0.4153111, , 
         3.25,     0.4358487, , 
          3.5,     0.4563726, , 
         3.75,     0.4768805, , 
            4,     0.4973608, , 
         4.25,      0.517831, , 
          4.5,     0.5382754, , 
         4.75,     0.5586936, , 
            5,     0.5790955, , 
         5.25,     0.5994657, , 
          5.5,     0.6198164, , 
         5.75,     0.6401336, , 
            6,     0.6604245, , 
         6.25,     0.6806894, , 
          6.5,     0.7009153, , 
         6.75,     0.7211181, , 
            7,     0.7412745, , 
         7.25,     0.7614022, , 
          7.5,     0.7815023, , 
         7.75,     0.8015405, , 
            8,     0.8215572, , 
         8.25,     0.8415226, , 
          8.5,      0.861435, , 
         8.75,     0.8813261, , 
            9,     0.9011436, , 
         9.25,     0.9209142, , 
          9.5,     0.9406483, , 
         9.75,     0.9603026, , 
           10,     0.9799096, , 
        10.25,     0.9994632, , 
         10.5,      1.018936, , 
        10.75,      1.038347, , 
           11,      1.057699, , 
        11.25,      1.076956, , 
         11.5,      1.096154, , 
        11.75,      1.115254, , 
           12,      1.134263, , 
        12.25,      1.153262, , 
         12.5,      1.172025, , 
        12.75,      1.190796, , 
           13,      1.209388, , 
        13.25,      1.227886, , 
         13.5,      1.246306, , 
        13.75,       1.26452, , 
           14,      1.282609, , 
        14.25,      1.300561, , 
         14.5,      1.318304, , 
        14.75,      1.335913, , 
           15,      1.353248, , 
        15.25,      1.370355, , 
         15.5,      1.387083, , 
        15.75,      1.403443, , 
           16,      1.419372, , 
        16.25,      1.434796, , 
         16.5,      1.450097, , 
        16.75,      1.464812, , 
           17,      1.479195, , 
        17.25,      1.493274, , 
         17.5,      1.506974, , 
        17.75,      1.520121, , 
           18,      1.533005, , 
        18.25,      1.545206, , 
         18.5,       1.55711, , 
        18.75,      1.568591, , 
           19,      1.579512, , 
        19.25,      1.589946, , 
         19.5,      1.599805, , 
        19.75,      1.608584, , 
           20,      1.616767, , 
        20.25,      1.624163, , 

