Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.023999, , 
       -14.75,     -1.005078, , 
        -14.5,    -0.9865744, , 
       -14.25,     -0.967986, , 
          -14,    -0.9493167, , 
       -13.75,    -0.9305202, , 
        -13.5,    -0.9116755, , 
       -13.25,    -0.8927182, , 
          -13,    -0.8736934, , 
       -12.75,    -0.8546067, , 
        -12.5,    -0.8354246, , 
       -12.25,    -0.8162008, , 
          -12,    -0.7968966, , 
       -11.75,    -0.7775447, , 
        -11.5,    -0.7581353, , 
       -11.25,    -0.7386655, , 
          -11,     -0.719163, , 
       -10.75,    -0.6996314, , 
        -10.5,    -0.6799898, , 
       -10.25,    -0.6603854, , 
          -10,    -0.6406395, , 
        -9.75,     -0.620963, , 
         -9.5,      -0.60114, , 
        -9.25,    -0.5813803, , 
           -9,    -0.5615106, , 
        -8.75,    -0.5416686, , 
         -8.5,    -0.5217814, , 
        -8.25,    -0.5018488, , 
           -8,    -0.4818897, , 
        -7.75,    -0.4619146, , 
         -7.5,     -0.441897, , 
        -7.25,     -0.421871, , 
           -7,    -0.4018154, , 
        -6.75,    -0.3817394, , 
         -6.5,    -0.3616538, , 
        -6.25,    -0.3415321, , 
           -6,    -0.3214051, , 
        -5.75,    -0.3012586, , 
         -5.5,    -0.2810938, , 
        -5.25,     -0.260923, , 
           -5,    -0.2407274, , 
        -4.75,    -0.2205267, , 
         -4.5,     -0.200315, , 
        -4.25,    -0.1800876, , 
           -4,    -0.1598582, , 
        -3.75,    -0.1396131, , 
         -3.5,    -0.1193634, , 
        -3.25,   -0.09910943, , 
           -3,   -0.07884361, , 
        -2.75,   -0.05857783, , 
         -2.5,   -0.03830601, , 
        -2.25,   -0.01803101, , 
           -2,   0.002243863, , 
        -1.75,    0.02252336, , 
         -1.5,    0.04280277, , 
        -1.25,    0.06308156, , 
           -1,    0.08335924, , 
        -0.75,     0.1036369, , 
         -0.5,      0.123909, , 
        -0.25,     0.1441791, , 
            0,     0.1644464, , 
         0.25,     0.1847042, , 
          0.5,     0.2049608, , 
         0.75,     0.2252067, , 
            1,     0.2454452, , 
         1.25,       0.26568, , 
          1.5,     0.2858973, , 
         1.75,     0.3061107, , 
            2,       0.32631, , 
         2.25,     0.3464942, , 
          2.5,     0.3666742, , 
         2.75,     0.3868277, , 
            3,     0.4069738, , 
         3.25,     0.4271042, , 
          3.5,     0.4472117, , 
         3.75,     0.4673125, , 
            4,     0.4873802, , 
         4.25,     0.5074352, , 
          4.5,     0.5274708, , 
         4.75,     0.5474736, , 
            5,      0.567471, , 
         5.25,     0.5874247, , 
          5.5,     0.6073576, , 
         5.75,     0.6272759, , 
            6,     0.6471446, , 
         6.25,     0.6670016, , 
          6.5,     0.6868173, , 
         6.75,     0.7066414, , 
            7,     0.7263609, , 
         7.25,     0.7461095, , 
          7.5,     0.7657479, , 
         7.75,     0.7854272, , 
            8,     0.8049793, , 
         8.25,     0.8245794, , 
          8.5,      0.844039, , 
         8.75,     0.8635496, , 
            9,     0.8829167, , 
         9.25,     0.9023168, , 
          9.5,     0.9216371, , 
         9.75,     0.9408745, , 
           10,     0.9600335, , 
        10.25,     0.9791982, , 
         10.5,     0.9982641, , 
        10.75,      1.017276, , 
           11,      1.036184, , 
        11.25,      1.055057, , 
         11.5,      1.073816, , 
        11.75,      1.092498, , 
           12,      1.111124, , 
        12.25,      1.129605, , 
         12.5,       1.14805, , 
        12.75,      1.166341, , 
           13,      1.184525, , 
        13.25,      1.202641, , 
         13.5,      1.220564, , 
        13.75,      1.238422, , 
           14,      1.256083, , 
        14.25,      1.273601, , 
         14.5,      1.290983, , 
        14.75,      1.308141, , 
           15,      1.325177, , 
        15.25,      1.341884, , 
         15.5,      1.358442, , 
        15.75,      1.374701, , 
           16,      1.390642, , 
        16.25,      1.406053, , 
         16.5,        1.4202, , 
        16.75,      1.433997, , 
           17,      1.447478, , 
        17.25,      1.460704, , 
         17.5,      1.473554, , 
        17.75,      1.486241, , 
           18,      1.498545, , 
        18.25,      1.510168, , 
         18.5,        1.5214, , 
        18.75,      1.532194, , 
           19,      1.542697, , 
        19.25,      1.552665, , 
         19.5,      1.562181, , 
        19.75,      1.571127, , 
           20,      1.579547, , 
        20.25,      1.587345, , 
         20.5,      1.594455, , 
        20.75,      1.600707, , 
           21,      1.606161, , 

