Alpha,T1_Re0.145_M0.00_N9.0, , 
          -15,    -0.6623918, , 
        -14.5,    -0.6481135, , 
          -14,    -0.6376191, , 
        -13.5,    -0.6219652, , 
          -13,    -0.6092423, , 
        -12.5,    -0.5998449, , 
          -12,     -0.587773, , 
        -11.5,    -0.5773932, , 
          -11,     -0.572608, , 
        -10.5,     -0.558544, , 
          -10,     -0.555305, , 
         -9.5,    -0.5432163, , 
           -9,    -0.5358837, , 
         -8.5,    -0.5324372, , 
           -8,    -0.5216105, , 
           -5,    -0.3792972, , 
         -3.5,    -0.2242397, , 
           -3,    -0.1724121, , 
         -2.5,    -0.1210236, , 
           -2,   -0.06639903, , 
         -1.5,   -0.01650185, , 
           -1,     0.0327743, , 
         -0.5,    0.08165612, , 
            0,     0.1298997, , 
          0.5,     0.1999358, , 
            1,     0.2956812, , 
          1.5,     0.3884554, , 
            2,      0.467442, , 
          2.5,     0.5296408, , 
            3,      0.580491, , 
          3.5,     0.6243902, , 
            4,     0.6676195, , 
          4.5,     0.6913579, , 
            5,     0.7338453, , 
          5.5,     0.7806763, , 
            6,     0.8319621, , 
          6.5,     0.8816836, , 

