Alpha,T1_Re0.145_M0.00_N9.0, , Alpha,T1_Re0.145_M0.00_N9.0, , Alpha,T1_Re0.145_M0.00_N9.0, , Alpha,T1_Re0.145_M0.00_N9.0, , 
, , ,           8.5,      1.048148, ,             9,      1.150203, ,          11.5,      1.261619, , 
, , ,             9,      1.069755, ,           9.5,      1.176549, ,            12,      1.274368, , 
, , ,           9.5,      1.082839, ,            10,      1.198657, ,          12.5,      1.288084, , 
, , ,            10,      1.093164, ,          10.5,      1.214027, ,            13,      1.301999, , 
, , ,          10.5,      1.101829, ,            11,      1.231606, ,          13.5,      1.315717, , 
, , ,            11,      1.109985, ,          11.5,      1.248168, ,            14,      1.328529, , 
, , ,          11.5,      1.215737, ,            12,      1.260979, ,          14.5,      1.340345, , 
, , ,            12,      1.232016, ,          12.5,      1.275625, ,            15,       1.34988, , 
, , ,          12.5,      1.248941, ,            13,       1.28543, ,          15.5,      1.356498, , 
, , ,            13,      1.266003, ,          13.5,      1.298197, ,            16,      1.359571, , 
, , ,          13.5,      1.283506, ,            14,      1.307973, ,          16.5,      1.359419, , 
, , ,            14,      1.302001, ,          14.5,      1.315822, ,            17,      1.357255, , 
, , ,          14.5,      1.321025, ,            15,      1.324314, ,          17.5,      1.356084, , 
, , ,            15,      1.346154, ,          15.5,      1.332656, ,            18,       1.36188, , 
, , ,          15.5,      1.341935, ,            16,      1.342095, ,          18.5,      1.381359, , 
, , ,            16,      1.361721, ,          16.5,      1.355066, ,            19,      1.345575, , 
, , ,          16.5,      1.341704, ,            17,      1.357972, ,          19.5,      1.337958, , 
, , ,            17,      1.347052, ,          17.5,      1.353079, ,            20,      1.373042, , 
, , ,          17.5,      1.327231, ,            18,       1.36682, , , , , 
, , ,            18,      1.275191, ,          18.5,      1.348859, , , , , 
, , ,          18.5,      1.202462, ,            19,        1.3525, , , , , 
, , , , , ,          19.5,      1.316705, , , , , 
, , , , , ,            20,      1.334705, , , , , 

