Alpha,T1_Re0.145_M0.00_N9.0, , 
          -20,    -0.3772369, , 
        -19.5,     -0.368286, , 
          -19,    -0.3610006, , 
        -18.5,    -0.3495943, , 
          -18,    -0.3491316, , 
        -17.5,    -0.3327848, , 
          -17,    -0.3365335, , 
        -16.5,     -0.317637, , 
          -16,    -0.3199679, , 
        -15.5,    -0.3053153, , 
          -15,    -0.3078658, , 
        -14.5,    -0.3182972, , 
          -14,    -0.2955147, , 
        -13.5,    -0.3238767, , 
          -13,    -0.2980411, , 
        -12.5,    -0.3008174, , 
          -12,    -0.3220889, , 
        -11.5,    -0.3048623, , 
          -11,    -0.3194655, , 
        -10.5,    -0.3478889, , 
          -10,    -0.8636493, , 
         -9.5,    -0.8582126, , 
           -9,    -0.8384897, , 
         -8.5,    -0.8158463, , 
           -8,    -0.7891143, , 
         -7.5,    -0.7581837, , 
           -7,    -0.6927351, , 
         -6.5,    -0.6158967, , 
           -6,    -0.5412635, , 
         -5.5,    -0.4651347, , 
           -5,    -0.3952493, , 
         -4.5,    -0.3232979, , 
           -4,    -0.2487024, , 
         -3.5,    -0.1765762, , 
           -3,    -0.1175408, , 
         -2.5,    -0.0575128, , 
           -2,  -0.001527521, , 
         -1.5,    0.05003003, , 
           -1,     0.1003465, , 
         -0.5,     0.1526382, , 
            0,     0.2071808, , 
          0.5,     0.2701816, , 
            1,     0.3506569, , 
          1.5,     0.4473297, , 
            2,     0.5430197, , 
          2.5,     0.6152125, , 
            3,     0.6547653, , 
          3.5,     0.6924507, , 
            4,     0.7310458, , 
          4.5,     0.7707568, , 
            5,     0.8083479, , 
          5.5,      0.846802, , 
            6,     0.8851411, , 
          6.5,     0.9220714, , 
            7,     0.9571542, , 
          7.5,     0.9904926, , 
            8,      1.021827, , 
          8.5,      1.048148, , 
            9,      1.069755, , 
          9.5,      1.082839, , 
           10,      1.093164, , 
         10.5,      1.101829, , 
           11,      1.109985, , 
         11.5,      1.215737, , 
           12,      1.232016, , 
         12.5,      1.248941, , 
           13,      1.266003, , 
         13.5,      1.283506, , 
           14,      1.302001, , 
         14.5,      1.321025, , 
           15,      1.346154, , 
         15.5,      1.341935, , 
           16,      1.361721, , 
         16.5,      1.341704, , 
           17,      1.347052, , 
         17.5,      1.327231, , 
           18,      1.275191, , 
         18.5,      1.202462, , 

