Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.06033855, , 
       -14.75,    0.05824656, , 
        -14.5,    0.05612136, , 
       -14.25,    0.05401974, , 
          -14,    0.05195287, , 
       -13.75,    0.04991198, , 
        -13.5,    0.04790607, , 
       -13.25,    0.04593448, , 
          -13,    0.04399379, , 
       -12.75,    0.04209129, , 
        -12.5,    0.04022153, , 
       -12.25,    0.03839058, , 
          -12,    0.03659706, , 
       -11.75,    0.03483897, , 
        -11.5,    0.03312251, , 
       -11.25,    0.03144342, , 
          -11,    0.02980438, , 
       -10.75,    0.02820648, , 
        -10.5,    0.02664464, , 
       -10.25,    0.02513125, , 
          -10,    0.02365597, , 
        -9.75,    0.02221992, , 
         -9.5,    0.02083186, , 
        -9.25,    0.01948086, , 
           -9,    0.01817874, , 
        -8.75,    0.01691421, , 
         -8.5,    0.01569876, , 
        -8.25,    0.01452247, , 
           -8,    0.01339433, , 
        -7.75,    0.01230712, , 
         -7.5,    0.01126594, , 
        -7.25,    0.01027004, , 
           -7,   0.009321399, , 
        -6.75,   0.008414044, , 
         -6.5,   0.007555786, , 
        -6.25,   0.006739709, , 
           -6,   0.005971113, , 
        -5.75,   0.005248643, , 
         -5.5,   0.004572088, , 
        -5.25,   0.003942013, , 
           -5,    0.00335809, , 
        -4.75,   0.002820738, , 
         -4.5,   0.002329991, , 
        -4.25,   0.001885798, , 
           -4,   0.001488471, , 
        -3.75,   0.001137888, , 
         -3.5,  0.0008342337, , 
        -3.25,  0.0005775588, , 
           -3,  0.0003678432, , 
        -2.75,  0.0002052202, , 
         -2.5,  8.967307e-05, , 
        -2.25,  2.124862e-05, , 
           -2, -3.349898e-08, , 
        -1.75,  2.583693e-05, , 
         -1.5,  9.886924e-05, , 
        -1.25,  0.0002190596, , 
           -1,  0.0003864011, , 
        -0.75,  0.0006008963, , 
         -0.5,  0.0008624772, , 
        -0.25,   0.001171158, , 
            0,   0.001526897, , 
         0.25,   0.001929589, , 
          0.5,    0.00237931, , 
         0.75,   0.002875819, , 
            1,   0.003419182, , 
         1.25,   0.004009347, , 
          1.5,    0.00464605, , 
         1.75,   0.005329513, , 
            2,   0.006059246, , 
         2.25,   0.006835363, , 
          2.5,   0.007657853, , 
         2.75,   0.008526269, , 
            3,   0.009440901, , 
         3.25,    0.01040106, , 
          3.5,     0.0114071, , 
         3.75,    0.01245882, , 
            4,     0.0135554, , 
         4.25,    0.01469771, , 
          4.5,    0.01588462, , 
         4.75,    0.01711623, , 
            5,    0.01839013, , 
         5.25,    0.01971293, , 
          5.5,    0.02107519, , 
         5.75,    0.02248631, , 
            6,    0.02393545, , 
         6.25,    0.02543389, , 
          6.5,    0.02696887, , 
         6.75,     0.0285534, , 
            7,    0.03017296, , 
         7.25,    0.03184169, , 
          7.5,    0.03354577, , 
         7.75,    0.03529629, , 
            8,    0.03708295, , 
         8.25,     0.0389114, , 
          8.5,    0.04078007, , 
         8.75,    0.04269005, , 
            9,    0.04463675, , 
         9.25,    0.04662423, , 
          9.5,    0.04864757, , 
         9.75,     0.0507085, , 
           10,    0.05280849, , 
        10.25,    0.05494105, , 
         10.5,    0.05711198, , 
        10.75,    0.05931595, , 
           11,    0.06155288, , 
        11.25,    0.06382529, , 
         11.5,    0.06612774, , 
        11.75,    0.06846215, , 
           12,    0.07082635, , 
        12.25,     0.0732194, , 
         12.5,    0.07563978, , 
        12.75,     0.0780875, , 
           13,    0.08056206, , 
        13.25,    0.08305495, , 
         13.5,    0.08557372, , 
        13.75,    0.08811012, , 
           14,    0.09066563, , 
        14.25,    0.09323871, , 
         14.5,    0.09582009, , 
        14.75,    0.09841628, , 
           15,     0.1010117, , 
        15.25,      0.103619, , 
         15.5,     0.1062144, , 
        15.75,     0.1088104, , 
           16,     0.1113592, , 
        16.25,     0.1137862, , 
         16.5,     0.1161894, , 
        16.75,     0.1185475, , 
           17,     0.1209448, , 
        17.25,     0.1232946, , 
         17.5,     0.1255882, , 
        17.75,     0.1278492, , 
           18,     0.1300833, , 
        18.25,     0.1322849, , 
         18.5,     0.1344581, , 
        18.75,     0.1365069, , 
           19,     0.1385025, , 
        19.25,     0.1404653, , 
         19.5,     0.1423757, , 
        19.75,     0.1442238, , 
           20,     0.1459847, , 
        20.25,      0.147661, , 
         20.5,     0.1492588, , 
        20.75,     0.1507114, , 

