CD_induced,T1-38.9 m/s-LLT, , 
   0.08186762,    -0.7170047, , 
   0.07878577,    -0.7025717, , 
    0.0757595,    -0.6889576, , 
   0.07278975,    -0.6753141, , 
    0.0698762,    -0.6616542, , 
   0.06702005,    -0.6479841, , 
    0.0642223,     -0.634308, , 
   0.06148149,    -0.6206189, , 
   0.05879771,    -0.6068711, , 
   0.05617239,    -0.5931581, , 
   0.05360625,    -0.5794419, , 
   0.05109784,    -0.5657144, , 
   0.04864722,    -0.5519722, , 
   0.04625578,    -0.5382242, , 
   0.04392409,    -0.5244734, , 
   0.04165049,     -0.510709, , 
   0.03943619,    -0.4969371, , 
   0.03728119,    -0.4831575, , 
   0.03518621,    -0.4693749, , 
   0.03315008,    -0.4555799, , 
   0.03117405,    -0.4417805, , 
   0.02925779,    -0.4279744, , 
   0.02740168,    -0.4141638, , 
   0.02560522,    -0.4003435, , 
   0.02386925,    -0.3865198, , 
   0.02219364,    -0.3726915, , 
   0.02057819,    -0.3588563, , 
   0.01902316,    -0.3450149, , 
   0.01752888,    -0.3311704, , 
   0.01609532,    -0.3173221, , 
   0.01472218,    -0.3034666, , 
   0.01340995,    -0.2896072, , 
   0.01215872,    -0.2757452, , 
   0.01096847,    -0.2618801, , 
  0.009839002,    -0.2480081, , 
  0.008770713,    -0.2341335, , 
   0.00776368,    -0.2202576, , 
  0.006817774,    -0.2063778, , 
  0.005932989,    -0.1924924, , 
  0.005109628,    -0.1786064, , 
  0.004347664,    -0.1647191, , 
  0.003646978,    -0.1508275, , 
  0.003007686,    -0.1369323, , 
  0.002429949,    -0.1230372, , 
  0.001913726,     -0.109141, , 
  0.001458935,   -0.09524036, , 
  0.001065699,   -0.08133738, , 
 0.0007340867,   -0.06743441, , 
  0.000464095,   -0.05353128, , 
 0.0002557051,   -0.03962591, , 
 0.0001089616,   -0.02572044, , 
 2.386612e-05,   -0.01181497, , 
  4.18761e-07,   0.002090374, , 
 3.863124e-05,    0.01599821, , 
 0.0001385148,    0.02990629, , 
 0.0003000694,    0.04381437, , 
  0.000523294,    0.05772244, , 
 0.0008081743,    0.07162981, , 
  0.001154715,    0.08553703, , 
   0.00156292,    0.09944425, , 
  0.002032769,     0.1133511, , 
  0.002564197,     0.1272558, , 
  0.003157231,     0.1411598, , 
  0.003811894,     0.1550636, , 
  0.004528116,     0.1689662, , 
  0.005305792,     0.1828658, , 
  0.006144996,     0.1967643, , 
  0.007045743,     0.2106622, , 
  0.008007875,     0.2245575, , 
  0.009031342,     0.2384496, , 
    0.0101162,       0.25234, , 
   0.01126249,     0.2662297, , 
   0.01246988,     0.2801147, , 
   0.01373846,     0.2939965, , 
    0.0150683,     0.3078765, , 
   0.01645939,     0.3217554, , 
   0.01791123,     0.3356275, , 
   0.01942404,     0.3494961, , 
   0.02099797,     0.3633631, , 
   0.02263274,     0.3772264, , 
   0.02432812,     0.3910842, , 
   0.02608412,      0.404937, , 
   0.02790111,     0.4187888, , 
   0.02977827,     0.4326331, , 
   0.03171606,      0.446474, , 
   0.03371399,     0.4603082, , 
   0.03577265,     0.4741411, , 
    0.0378908,     0.4879637, , 
   0.04006943,     0.5017836, , 
     0.042308,     0.5155976, , 
   0.04460672,     0.5294083, , 
   0.04696413,     0.5432055, , 
   0.04938189,     0.5570012, , 
   0.05185937,     0.5707914, , 
   0.05439614,     0.5845753, , 
   0.05699103,     0.5983451, , 
    0.0596459,     0.6121128, , 
   0.06236004,     0.6258747, , 
    0.0651327,     0.6396277, , 
    0.0679632,     0.6533681, , 
   0.07085298,     0.6671046, , 
   0.07380114,     0.6807891, , 
   0.07680713,     0.6945492, , 
    0.0798709,     0.7082147, , 
   0.08299284,     0.7219575, , 
   0.08617217,     0.7356051, , 
   0.08940851,     0.7492815, , 
   0.09270317,     0.7629543, , 
   0.09605426,     0.7766146, , 
   0.09946111,     0.7902595, , 
    0.1029244,     0.8038918, , 
    0.1064466,     0.8175237, , 
    0.1100232,     0.8311378, , 
    0.1136537,     0.8447318, , 
    0.1173409,     0.8583165, , 
    0.1210868,     0.8719021, , 
    0.1248849,     0.8854647, , 
    0.1287347,     0.8990011, , 
    0.1326416,     0.9125327, , 
    0.1366065,     0.9260645, , 
    0.1406205,     0.9395648, , 
    0.1446852,     0.9530394, , 
    0.1488068,     0.9665105, , 
    0.1529844,     0.9799772, , 
    0.1572087,     0.9934082, , 
    0.1614841,      1.006817, , 
    0.1658152,      1.020222, , 
    0.1701987,      1.033613, , 
    0.1746261,      1.046963, , 
    0.1791059,      1.060298, , 
    0.1836388,      1.073625, , 
    0.1882205,      1.086929, , 
    0.1928438,      1.100189, , 
    0.1975201,       1.11344, , 
    0.2022469,      1.126676, , 
    0.2070163,      1.139876, , 
    0.2118285,      1.153039, , 
    0.2166905,      1.166188, , 
    0.2216021,      1.179282, , 
    0.2265479,      1.192401, , 
    0.2315383,      1.205455, , 
    0.2365734,      1.218441, , 
    0.2416521,      1.231442, , 
    0.2467654,      1.244391, , 
    0.2519178,      1.257307, , 
    0.2571107,      1.270189, , 
    0.2623388,      1.283028, , 
    0.2676059,      1.295834, , 
    0.2729012,      1.308581, , 

