Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.044596, , 
       -14.75,     -1.025167, , 
        -14.5,     -1.006242, , 
       -14.25,    -0.9872736, , 
          -14,    -0.9681554, , 
       -13.75,    -0.9489951, , 
        -13.5,    -0.9297305, , 
       -13.25,    -0.9103777, , 
          -13,    -0.8909483, , 
       -12.75,     -0.871441, , 
        -12.5,    -0.8518729, , 
       -12.25,    -0.8322453, , 
          -12,     -0.812543, , 
       -11.75,     -0.792799, , 
        -11.5,    -0.7729822, , 
       -11.25,    -0.7531186, , 
          -11,    -0.7332218, , 
       -10.75,    -0.7132492, , 
        -10.5,    -0.6932484, , 
       -10.25,    -0.6732074, , 
          -10,    -0.6531173, , 
        -9.75,    -0.6329974, , 
         -9.5,    -0.6128296, , 
        -9.25,    -0.5926326, , 
           -9,    -0.5724053, , 
        -8.75,    -0.5521394, , 
         -8.5,    -0.5318498, , 
        -8.25,    -0.5115242, , 
           -8,    -0.4911789, , 
        -7.75,    -0.4708036, , 
         -7.5,    -0.4504004, , 
        -7.25,    -0.4299828, , 
           -7,    -0.4095332, , 
        -6.75,    -0.3890689, , 
         -6.5,    -0.3685881, , 
        -6.25,    -0.3480781, , 
           -6,    -0.3275609, , 
        -5.75,    -0.3070213, , 
         -5.5,    -0.2864679, , 
        -5.25,    -0.2659035, , 
           -5,    -0.2453186, , 
        -4.75,    -0.2247281, , 
         -4.5,    -0.2041226, , 
        -4.25,    -0.1835067, , 
           -4,    -0.1628863, , 
        -3.75,    -0.1422494, , 
         -3.5,    -0.1216104, , 
        -3.25,     -0.100964, , 
           -3,   -0.08030727, , 
        -2.75,    -0.0596507, , 
         -2.5,   -0.03898823, , 
        -2.25,   -0.01832299, , 
           -2,   0.002342132, , 
        -1.75,     0.0230125, , 
         -1.5,    0.04368278, , 
        -1.25,    0.06435252, , 
           -1,    0.08502087, , 
        -0.75,     0.1056892, , 
         -0.5,     0.1263528, , 
        -0.25,     0.1470131, , 
            0,      0.167672, , 
         0.25,     0.1883211, , 
          0.5,     0.2089673, , 
         0.75,     0.2296064, , 
            1,     0.2502355, , 
         1.25,     0.2708603, , 
          1.5,     0.2914708, , 
         1.75,     0.3120737, , 
            2,     0.3326657, , 
         2.25,     0.3532414, , 
          2.5,     0.3738112, , 
         2.75,     0.3943589, , 
            3,     0.4148944, , 
         3.25,     0.4354183, , 
          3.5,     0.4559175, , 
         3.75,     0.4764062, , 
            4,      0.496873, , 
         4.25,     0.5173164, , 
          4.5,     0.5377446, , 
         4.75,     0.5581451, , 
            5,     0.5785265, , 
         5.25,     0.5988777, , 
          5.5,     0.6192067, , 
         5.75,     0.6395129, , 
            6,     0.6597814, , 
         6.25,     0.6800276, , 
          6.5,      0.700237, , 
         6.75,     0.7204144, , 
            7,     0.7405701, , 
         7.25,     0.7606701, , 
          7.5,     0.7807439, , 
         7.75,     0.8007856, , 
            8,     0.8207713, , 
         8.25,     0.8407262, , 
          8.5,     0.8606316, , 
         8.75,     0.8804888, , 
            9,     0.9003047, , 
         9.25,     0.9200653, , 
          9.5,     0.9397725, , 
         9.75,     0.9594209, , 
           10,     0.9790274, , 
        10.25,     0.9985537, , 
         10.5,      1.018027, , 
        10.75,      1.037441, , 
           11,      1.056754, , 
        11.25,      1.076039, , 
         11.5,      1.095214, , 
        11.75,      1.114302, , 
           12,      1.133354, , 
        12.25,      1.152292, , 
         12.5,      1.171106, , 
        12.75,       1.18984, , 
           13,      1.208479, , 
        13.25,      1.227004, , 
         13.5,      1.245384, , 
        13.75,      1.263674, , 
           14,      1.281813, , 
        14.25,       1.29975, , 
         14.5,        1.3176, , 
        14.75,      1.335214, , 
           15,      1.352708, , 
        15.25,      1.369973, , 
         15.5,      1.386949, , 
        15.75,      1.403719, , 
           16,      1.420151, , 
        16.25,      1.436032, , 
         16.5,      1.451155, , 
        16.75,      1.465726, , 
           17,      1.480228, , 
        17.25,      1.494255, , 
         17.5,      1.507906, , 
        17.75,      1.521163, , 
           18,      1.534121, , 
        18.25,      1.546581, , 
         18.5,      1.558571, , 
        18.75,      1.570177, , 
           19,      1.580741, , 
        19.25,      1.591081, , 
         19.5,      1.600867, , 
        19.75,      1.610383, , 
           20,      1.619179, , 
        20.25,      1.627362, , 
         20.5,      1.634855, , 
        20.75,      1.641463, , 
           21,      1.647271, , 

