Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.030375, , 
       -14.75,      -1.01127, , 
        -14.5,    -0.9926097, , 
       -14.25,    -0.9739153, , 
          -14,    -0.9550841, , 
       -13.75,    -0.9361805, , 
        -13.5,    -0.9171971, , 
       -13.25,    -0.8981488, , 
          -13,    -0.8789776, , 
       -12.75,     -0.859774, , 
        -12.5,     -0.840449, , 
       -12.25,    -0.8211428, , 
          -12,    -0.8017049, , 
       -11.75,    -0.7821996, , 
        -11.5,    -0.7626953, , 
       -11.25,    -0.7431107, , 
          -11,    -0.7234458, , 
       -10.75,    -0.7037849, , 
        -10.5,    -0.6840684, , 
       -10.25,    -0.6642963, , 
          -10,    -0.6444773, , 
        -9.75,    -0.6246364, , 
         -9.5,    -0.6047357, , 
        -9.25,    -0.5848158, , 
           -9,    -0.5648574, , 
        -8.75,    -0.5448643, , 
         -8.5,     -0.524852, , 
        -8.25,    -0.5047938, , 
           -8,    -0.4847223, , 
        -7.75,    -0.4646202, , 
         -7.5,    -0.4444871, , 
        -7.25,    -0.4243452, , 
           -7,    -0.4041643, , 
        -6.75,    -0.3839723, , 
         -6.5,    -0.3637662, , 
        -6.25,    -0.3435253, , 
           -6,    -0.3232811, , 
        -5.75,    -0.3030129, , 
         -5.5,    -0.2827303, , 
        -5.25,    -0.2624411, , 
           -5,    -0.2421256, , 
        -4.75,    -0.2218071, , 
         -4.5,     -0.201475, , 
        -4.25,    -0.1811294, , 
           -4,    -0.1607815, , 
        -3.75,    -0.1404168, , 
         -3.5,    -0.1200487, , 
        -3.25,   -0.09967549, , 
           -3,   -0.07929084, , 
        -2.75,   -0.05890628, , 
         -2.5,   -0.03851556, , 
        -2.25,    -0.0181218, , 
           -2,   0.002271824, , 
        -1.75,    0.02267027, , 
         -1.5,    0.04306861, , 
        -1.25,    0.06346634, , 
           -1,    0.08386279, , 
        -0.75,     0.1042592, , 
         -0.5,     0.1246504, , 
        -0.25,     0.1450392, , 
            0,     0.1654259, , 
         0.25,     0.1858023, , 
          0.5,     0.2061773, , 
         0.75,     0.2265434, , 
            1,     0.2469002, , 
         1.25,     0.2672548, , 
          1.5,     0.2875909, , 
         1.75,      0.307922, , 
            2,     0.3282423, , 
         2.25,     0.3485444, , 
          2.5,      0.368844, , 
         2.75,     0.3891178, , 
            3,     0.4093806, , 
         3.25,     0.4296351, , 
          3.5,     0.4498589, , 
         3.75,     0.4700757, , 
            4,     0.4902692, , 
         4.25,     0.5104389, , 
          4.5,     0.5305982, , 
         4.75,     0.5507222, , 
            5,     0.5708307, , 
         5.25,     0.5909126, , 
          5.5,      0.610964, , 
         5.75,      0.631001, , 
            6,     0.6509922, , 
         6.25,      0.670966, , 
          6.5,     0.6909057, , 
         6.75,     0.7108044, , 
            7,     0.7306896, , 
         7.25,     0.7505138, , 
          7.5,     0.7703123, , 
         7.75,     0.7900825, , 
            8,     0.8097857, , 
         8.25,     0.8294746, , 
          8.5,     0.8491473, , 
         8.75,     0.8686832, , 
            9,     0.8882301, , 
         9.25,     0.9077013, , 
          9.5,      0.927185, , 
         9.75,     0.9465178, , 
           10,     0.9658704, , 
        10.25,     0.9850993, , 
         10.5,      1.004318, , 
        10.75,      1.023416, , 
           11,      1.042508, , 
        11.25,      1.061437, , 
         11.5,      1.080398, , 
        11.75,      1.099169, , 
           12,       1.11795, , 
        12.25,      1.136597, , 
         12.5,      1.155133, , 
        12.75,      1.173602, , 
           13,      1.191927, , 
        13.25,      1.210158, , 
         13.5,      1.228256, , 
        13.75,      1.246224, , 
           14,      1.264072, , 
        14.25,      1.281739, , 
         14.5,      1.299295, , 
        14.75,      1.316615, , 
           15,      1.333782, , 
        15.25,      1.350745, , 
         15.5,      1.367445, , 
        15.75,       1.38397, , 
           16,      1.400141, , 
        16.25,      1.416021, , 
         16.5,      1.430936, , 
        16.75,      1.444966, , 
           17,      1.458535, , 
        17.25,      1.471982, , 
         17.5,      1.485156, , 
        17.75,      1.497839, , 
           18,      1.510084, , 
        18.25,      1.521904, , 
         18.5,      1.533458, , 
        18.75,      1.544519, , 
           19,      1.555281, , 
        19.25,      1.565375, , 
         19.5,      1.575194, , 
        19.75,      1.584189, , 
           20,       1.59286, , 
        20.25,      1.600571, , 
         20.5,      1.608151, , 
        20.75,      1.614543, , 
           21,      1.620708, , 
        21.25,      1.625425, , 

