Alpha,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
          -20,    -0.5351898, , 
        -19.5,     -0.533799, , 
          -19,    -0.5433051, , 
        -18.5,     -0.627751, , 
          -18,    -0.6779662, , 
        -17.5,    -0.7083047, , 
          -17,    -0.7364755, , 
        -16.5,     -0.766682, , 
          -16,    -0.7977177, , 
        -15.5,    -0.8229131, , 
          -15,    -0.8402248, , 
        -14.5,    -0.8493562, , 
          -14,    -0.8508901, , 
        -13.5,    -0.8459663, , 
          -13,    -0.8356411, , 
        -12.5,    -0.8208765, , 
          -12,     -0.802349, , 
        -11.5,    -0.7805348, , 
          -11,    -0.7558998, , 
        -10.5,    -0.7287385, , 
          -10,    -0.6994595, , 
         -9.5,     -0.668985, , 
           -9,    -0.6395287, , 
         -8.5,    -0.6073493, , 
           -8,     -0.570344, , 
         -7.5,    -0.5311342, , 
           -7,    -0.4901729, , 
         -6.5,    -0.4478126, , 
           -6,    -0.4043101, , 
         -5.5,    -0.3598756, , 
           -5,    -0.3146893, , 
         -4.5,    -0.2688799, , 
           -4,    -0.2225975, , 
         -3.5,    -0.1759599, , 
           -3,    -0.1290812, , 
         -2.5,   -0.08205189, , 
           -2,   -0.03496069, , 
         -1.5,    0.01210119, , 
           -1,    0.05901835, , 
         -0.5,     0.1056953, , 
            0,     0.1520332, , 
          0.5,     0.1979199, , 
            1,     0.2432334, , 
          1.5,      0.287829, , 
            2,     0.3315299, , 
          2.5,     0.3739397, , 
            3,     0.4133882, , 
          3.5,     0.4521875, , 
            4,     0.4914235, , 
          4.5,     0.5314601, , 
            5,     0.5711263, , 
          5.5,     0.6099504, , 
            6,     0.6477165, , 
          6.5,     0.6843447, , 
            7,     0.7197046, , 
          7.5,     0.7537243, , 
            8,     0.7863256, , 
          8.5,     0.8174058, , 
            9,     0.8468393, , 
          9.5,     0.8745903, , 
           10,     0.9004105, , 
         10.5,     0.9243512, , 
           11,     0.9460632, , 
         11.5,     0.9658623, , 
           12,     0.9835786, , 
         12.5,     0.9992195, , 
           13,      1.012803, , 
         13.5,      1.024317, , 
           14,      1.033741, , 
         14.5,      1.040985, , 
           15,      1.046298, , 
         15.5,      1.049678, , 
           16,      1.051213, , 
         16.5,      1.051353, , 
           17,      1.050368, , 
         17.5,       1.04851, , 
           18,      1.046181, , 
         18.5,      1.044157, , 
           19,      1.042687, , 
         19.5,      1.042265, , 
           20,       1.04253, , 

