Alpha,T1_Re0.145_M0.00_N9.0, , 
        -18.5,    -0.7093082, , 
          -18,    -0.6949479, , 
        -17.5,    -0.6767387, , 
          -17,    -0.6607002, , 
        -16.5,    -0.6513866, , 
          -16,     -0.630677, , 
        -15.5,    -0.6155419, , 
          -15,    -0.6123133, , 
        -14.5,    -0.5886474, , 
          -14,    -0.5847632, , 
        -13.5,    -0.5654063, , 
          -13,    -0.5560213, , 
        -12.5,    -0.5488437, , 
          -12,     -0.535997, , 
        -11.5,    -0.5389226, , 
          -11,    -0.5214404, , 
        -10.5,     -0.518044, , 
          -10,    -0.5248569, , 
         -9.5,    -0.5060959, , 
           -8,    -0.4120762, , 
         -7.5,    -0.4503599, , 
           -7,    -0.4558898, , 
           -6,    -0.5019466, , 
         -5.5,    -0.4632886, , 
           -5,    -0.4191368, , 
         -4.5,    -0.3725923, , 
           -4,    -0.3248116, , 
         -3.5,    -0.2760847, , 
           -3,    -0.2261945, , 
         -2.5,     -0.175521, , 
           -2,    -0.1249762, , 
         -1.5,   -0.04544003, , 
           -1,    0.04803037, , 
         -0.5,     0.1396939, , 
            0,     0.2306027, , 
          0.5,      0.311472, , 
            1,     0.3790262, , 
          1.5,     0.4357233, , 
            2,     0.4877497, , 
          2.5,     0.5386838, , 
            3,     0.5892172, , 
          3.5,     0.6389101, , 
            4,     0.6878564, , 
          4.5,     0.7358152, , 
            5,     0.7827289, , 
          5.5,     0.8274858, , 
            6,     0.8651576, , 
          6.5,     0.8915571, , 
            7,     0.9270582, , 
          7.5,     0.9664063, , 
            8,      1.010697, , 
          8.5,      1.056869, , 
            9,      1.100311, , 
          9.5,      1.135372, , 
           10,      1.158372, , 
         10.5,      1.163043, , 
           11,      1.115005, , 
           12,     0.9916171, , 
         12.5,     0.6694244, , 
           13,     0.6800553, , 
         13.5,     0.6518873, , 
           14,     0.6355028, , 
         14.5,     0.6366282, , 
           15,     0.6461229, , 
         15.5,     0.6385374, , 
           16,     0.6351269, , 
         16.5,     0.6611216, , 
           17,     0.6417051, , 
         17.5,     0.6514898, , 
           18,     0.6543615, , 
         18.5,     0.6566961, , 
           19,     0.6634333, , 
         19.5,     0.6695076, , 
           20,     0.6733612, , 

