Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.06174304, , 
       -14.75,    0.05962166, , 
        -14.5,     0.0574461, , 
       -14.25,    0.05529136, , 
          -14,    0.05317943, , 
       -13.75,    0.05108732, , 
        -13.5,     0.0490337, , 
       -13.25,    0.04701453, , 
          -13,    0.04503006, , 
       -12.75,    0.04308085, , 
        -12.5,    0.04116927, , 
       -12.25,     0.0392952, , 
          -12,    0.03745845, , 
       -11.75,    0.03566187, , 
        -11.5,    0.03390313, , 
       -11.25,    0.03218506, , 
          -11,    0.03050877, , 
       -10.75,    0.02887162, , 
        -10.5,    0.02727724, , 
       -10.25,    0.02572513, , 
          -10,      0.024215, , 
        -9.75,    0.02274838, , 
         -9.5,    0.02132446, , 
        -9.25,    0.01994447, , 
           -9,    0.01860873, , 
        -8.75,    0.01731704, , 
         -8.5,    0.01607026, , 
        -8.25,    0.01486808, , 
           -8,    0.01371153, , 
        -7.75,     0.0126002, , 
         -7.5,    0.01153452, , 
        -7.25,    0.01051516, , 
           -7,   0.009541517, , 
        -6.75,   0.008614525, , 
         -6.5,    0.00773417, , 
        -6.25,   0.006900201, , 
           -6,   0.006113464, , 
        -5.75,   0.005373604, , 
         -5.5,   0.004680998, , 
        -5.25,   0.004035802, , 
           -5,   0.003437909, , 
        -4.75,   0.002887755, , 
         -4.5,   0.002385192, , 
        -4.25,   0.001930441, , 
           -4,   0.001523639, , 
        -3.75,   0.001164664, , 
         -3.5,  0.0008538008, , 
        -3.25,  0.0005910075, , 
           -3,  0.0003763244, , 
        -2.75,  0.0002098769, , 
         -2.5,  9.164332e-05, , 
        -2.25,  2.167161e-05, , 
           -2, -2.069372e-08, , 
        -1.75,  2.657908e-05, , 
         -1.5,  0.0001014825, , 
        -1.25,  0.0002246856, , 
           -1,  0.0003961777, , 
        -0.75,   0.000615964, , 
         -0.5,  0.0008839809, , 
        -0.25,   0.001200218, , 
            0,   0.001564682, , 
         0.25,   0.001977208, , 
          0.5,   0.002437865, , 
         0.75,   0.002946538, , 
            1,   0.003503104, , 
         1.25,   0.004107637, , 
          1.5,    0.00475984, , 
         1.75,   0.005459796, , 
            2,   0.006207337, , 
         2.25,    0.00700222, , 
          2.5,   0.007844693, , 
         2.75,    0.00873409, , 
            3,   0.009670656, , 
         3.25,    0.01065433, , 
          3.5,    0.01168446, , 
         3.75,    0.01276149, , 
            4,    0.01388485, , 
         4.25,    0.01505425, , 
          4.5,    0.01626995, , 
         4.75,    0.01753123, , 
            5,    0.01883832, , 
         5.25,    0.02019045, , 
          5.5,     0.0215879, , 
         5.75,     0.0230304, , 
            6,    0.02451698, , 
         6.25,    0.02604829, , 
          6.5,    0.02762308, , 
         6.75,    0.02924164, , 
            7,    0.03090442, , 
         7.25,    0.03260866, , 
          7.5,    0.03435623, , 
         7.75,    0.03614654, , 
            8,     0.0379774, , 
         8.25,    0.03985054, , 
          8.5,    0.04176415, , 
         8.75,    0.04371787, , 
            9,    0.04571217, , 
         9.25,    0.04774551, , 
          9.5,    0.04981725, , 
         9.75,    0.05192718, , 
           10,    0.05407599, , 
        10.25,    0.05625966, , 
         10.5,    0.05848099, , 
        10.75,    0.06073786, , 
           11,    0.06302647, , 
        11.25,    0.06535362, , 
         11.5,    0.06770974, , 
        11.75,    0.07009754, , 
           12,    0.07252123, , 
        12.25,     0.0749615, , 
         12.5,    0.07744777, , 
        12.75,     0.0799542, , 
           13,    0.08247622, , 
        13.25,    0.08504346, , 
         13.5,    0.08761003, , 
        13.75,    0.09021155, , 
           14,    0.09283068, , 
        14.25,    0.09546054, , 
         14.5,    0.09812488, , 
        14.75,     0.1007705, , 
           15,     0.1034422, , 
        15.25,     0.1061168, , 
         15.5,     0.1087836, , 
        15.75,      0.111464, , 
           16,     0.1140913, , 
        16.25,     0.1167128, , 
         16.5,     0.1192241, , 
        16.75,     0.1216587, , 
           17,     0.1241335, , 
        17.25,     0.1265497, , 
         17.5,     0.1289283, , 
        17.75,     0.1312654, , 
           18,     0.1335769, , 
        18.25,     0.1358114, , 
         18.5,     0.1380008, , 
        18.75,     0.1401482, , 
           19,     0.1421179, , 
        19.25,     0.1440641, , 
         19.5,     0.1459427, , 
        19.75,       0.14779, , 
           20,     0.1495448, , 
        20.25,     0.1511881, , 
         20.5,     0.1527486, , 
        20.75,     0.1541766, , 
           21,     0.1554844, , 

