Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.06120227, , 
       -14.75,     0.0590948, , 
        -14.5,    0.05693805, , 
       -14.25,    0.05481001, , 
          -14,    0.05270323, , 
       -13.75,    0.05064081, , 
        -13.5,    0.04860563, , 
       -13.25,    0.04659855, , 
          -13,    0.04463713, , 
       -12.75,    0.04270048, , 
        -12.5,    0.04080505, , 
       -12.25,    0.03894744, , 
          -12,    0.03712703, , 
       -11.75,    0.03535024, , 
        -11.5,    0.03360329, , 
       -11.25,    0.03190058, , 
          -11,     0.0302384, , 
       -10.75,    0.02861622, , 
        -10.5,    0.02703635, , 
       -10.25,    0.02549721, , 
          -10,    0.02400092, , 
        -9.75,    0.02254719, , 
         -9.5,    0.02113572, , 
        -9.25,    0.01976844, , 
           -9,    0.01844395, , 
        -8.75,    0.01716392, , 
         -8.5,    0.01592853, , 
        -8.25,    0.01473668, , 
           -8,     0.0135905, , 
        -7.75,    0.01248905, , 
         -7.5,    0.01143279, , 
        -7.25,    0.01042256, , 
           -7,   0.009457496, , 
        -6.75,   0.008538752, , 
         -6.5,   0.007666143, , 
        -6.25,   0.006839627, , 
           -6,    0.00605993, , 
        -5.75,   0.005326511, , 
         -5.5,   0.004640068, , 
        -5.25,   0.004000657, , 
           -5,   0.003407975, , 
        -4.75,    0.00286271, , 
         -4.5,   0.002364595, , 
        -4.25,    0.00191382, , 
           -4,   0.001510612, , 
        -3.75,   0.001154774, , 
         -3.5,  0.0008466133, , 
        -3.25,  0.0005861116, , 
           -3,  0.0003732767, , 
        -2.75,  0.0002082402, , 
         -2.5,  9.098102e-05, , 
        -2.25,   2.15499e-05, , 
           -2, -3.436932e-08, , 
        -1.75,  2.623961e-05, , 
         -1.5,  0.0001003822, , 
        -1.25,  0.0002223891, , 
           -1,  0.0003922509, , 
        -0.75,  0.0006099722, , 
         -0.5,  0.0008754857, , 
        -0.25,   0.001188795, , 
            0,   0.001549895, , 
         0.25,   0.001958605, , 
          0.5,   0.002415044, , 
         0.75,   0.002919042, , 
            1,   0.003470491, , 
         1.25,   0.004069562, , 
          1.5,    0.00471575, , 
         1.75,    0.00540929, , 
            2,   0.006150103, , 
         2.25,   0.006937704, , 
          2.5,   0.007772488, , 
         2.75,   0.008653856, , 
            3,   0.009581899, , 
         3.25,     0.0105567, , 
          3.5,    0.01157741, , 
         3.75,    0.01264469, , 
            4,    0.01375785, , 
         4.25,    0.01491659, , 
          4.5,    0.01612162, , 
         4.75,    0.01737125, , 
            5,    0.01866633, , 
         5.25,    0.02000671, , 
          5.5,    0.02139119, , 
         5.75,    0.02282081, , 
            6,    0.02429406, , 
         6.25,    0.02581116, , 
          6.5,    0.02737239, , 
         6.75,    0.02897614, , 
            7,    0.03062359, , 
         7.25,    0.03231303, , 
          7.5,    0.03404459, , 
         7.75,     0.0358189, , 
            8,    0.03763329, , 
         8.25,     0.0394895, , 
          8.5,    0.04138588, , 
         8.75,    0.04332237, , 
            9,    0.04529931, , 
         9.25,    0.04731337, , 
          9.5,    0.04936727, , 
         9.75,    0.05145887, , 
           10,    0.05358639, , 
        10.25,    0.05575303, , 
         10.5,    0.05795315, , 
        10.75,    0.06018919, , 
           11,    0.06246039, , 
        11.25,    0.06475791, , 
         11.5,    0.06710021, , 
        11.75,    0.06946216, , 
           12,    0.07186046, , 
        12.25,    0.07429503, , 
         12.5,    0.07674613, , 
        12.75,    0.07923011, , 
           13,    0.08173657, , 
        13.25,    0.08427152, , 
         13.5,    0.08682712, , 
        13.75,    0.08940293, , 
           14,    0.09200128, , 
        14.25,    0.09460821, , 
         14.5,    0.09724045, , 
        14.75,     0.0998767, , 
           15,     0.1025198, , 
        15.25,       0.10518, , 
         15.5,     0.1078219, , 
        15.75,     0.1104801, , 
           16,     0.1131169, , 
        16.25,     0.1157325, , 
         16.5,     0.1183105, , 
        16.75,     0.1207123, , 
           17,     0.1231013, , 
        17.25,     0.1254875, , 
         17.5,     0.1277817, , 
        17.75,     0.1300281, , 
           18,      0.132284, , 
        18.25,     0.1344694, , 
         18.5,     0.1366199, , 
        18.75,     0.1387156, , 
           19,     0.1407172, , 
        19.25,     0.1426464, , 
         19.5,     0.1445006, , 
        19.75,     0.1463166, , 
           20,     0.1480523, , 
        20.25,     0.1497069, , 
         20.5,     0.1512582, , 
        20.75,     0.1527149, , 
           21,     0.1540408, , 
        21.25,     0.1552332, , 

