Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.041257, , 
       -14.75,     -1.021857, , 
        -14.5,     -1.002988, , 
       -14.25,    -0.9841052, , 
          -14,     -0.965012, , 
       -13.75,    -0.9459427, , 
        -13.5,    -0.9266994, , 
       -13.25,    -0.9074302, , 
          -13,    -0.8880818, , 
       -12.75,     -0.868636, , 
        -12.5,    -0.8491362, , 
       -12.25,    -0.8295684, , 
          -12,    -0.8099283, , 
       -11.75,    -0.7902482, , 
        -11.5,    -0.7705003, , 
       -11.25,    -0.7507056, , 
          -11,    -0.7308629, , 
       -10.75,    -0.7109623, , 
        -10.5,     -0.691033, , 
       -10.25,    -0.6710446, , 
          -10,    -0.6510261, , 
        -9.75,    -0.6309741, , 
         -9.5,    -0.6108669, , 
        -9.25,    -0.5907433, , 
           -9,    -0.5705743, , 
        -8.75,    -0.5503747, , 
         -8.5,    -0.5301548, , 
        -8.25,    -0.5098914, , 
           -8,     -0.489612, , 
        -7.75,    -0.4693036, , 
         -7.5,    -0.4489667, , 
        -7.25,    -0.4286152, , 
           -7,    -0.4082312, , 
        -6.75,    -0.3878345, , 
         -6.5,    -0.3674157, , 
        -6.25,    -0.3469737, , 
           -6,    -0.3265238, , 
        -5.75,    -0.3060473, , 
         -5.5,    -0.2855613, , 
        -5.25,    -0.2650641, , 
           -5,    -0.2445434, , 
        -4.75,    -0.2240203, , 
         -4.5,    -0.2034807, , 
        -4.25,    -0.1829303, , 
           -4,     -0.162377, , 
        -3.75,    -0.1418057, , 
         -3.5,    -0.1212325, , 
        -3.25,    -0.1006529, , 
           -3,   -0.08006236, , 
        -2.75,   -0.05947193, , 
         -2.5,   -0.03887555, , 
        -2.25,   -0.01827637, , 
           -2,    0.00232267, , 
        -1.75,    0.02292689, , 
         -1.5,    0.04353101, , 
        -1.25,    0.06413454, , 
           -1,    0.08473673, , 
        -0.75,     0.1053389, , 
         -0.5,     0.1259362, , 
        -0.25,     0.1465304, , 
            0,     0.1671234, , 
         0.25,     0.1877056, , 
          0.5,      0.208286, , 
         0.75,     0.2288592, , 
            1,     0.2494212, , 
         1.25,     0.2699811, , 
          1.5,     0.2905246, , 
         1.75,     0.3110601, , 
            2,     0.3315884, , 
         2.25,     0.3520968, , 
          2.5,      0.372599, , 
         2.75,     0.3930836, , 
            3,     0.4135515, , 
         3.25,     0.4340098, , 
          3.5,     0.4544431, , 
         3.75,     0.4748646, , 
            4,     0.4952646, , 
         4.25,     0.5156422, , 
          4.5,     0.5360074, , 
         4.75,      0.556338, , 
            5,     0.5766531, , 
         5.25,     0.5969454, , 
          5.5,     0.6172018, , 
         5.75,     0.6374447, , 
            6,     0.6576468, , 
         6.25,     0.6778221, , 
          6.5,     0.6979742, , 
         6.75,      0.718082, , 
            7,     0.7381668, , 
         7.25,     0.7582107, , 
          7.5,     0.7782161, , 
         7.75,     0.7981871, , 
            8,     0.8181086, , 
         8.25,      0.838001, , 
          8.5,     0.8578422, , 
         8.75,     0.8776305, , 
            9,     0.8973862, , 
         9.25,      0.917073, , 
          9.5,     0.9367245, , 
         9.75,     0.9563094, , 
           10,     0.9758307, , 
        10.25,     0.9953202, , 
         10.5,      1.014716, , 
        10.75,      1.034055, , 
           11,       1.05333, , 
        11.25,      1.072518, , 
         11.5,      1.091661, , 
        11.75,      1.110688, , 
           12,      1.129681, , 
        12.25,      1.148522, , 
         12.5,      1.167317, , 
        12.75,      1.185969, , 
           13,      1.204575, , 
        13.25,      1.223017, , 
         13.5,       1.24136, , 
        13.75,      1.259563, , 
           14,      1.277644, , 
        14.25,      1.295574, , 
         14.5,       1.31334, , 
        14.75,      1.330929, , 
           15,      1.348348, , 
        15.25,      1.365573, , 
         15.5,      1.382592, , 
        15.75,      1.399336, , 
           16,      1.415822, , 
        16.25,      1.431979, , 
         16.5,      1.447283, , 
        16.75,      1.462022, , 
           17,      1.475953, , 
        17.25,      1.489892, , 
         17.5,      1.503552, , 
        17.75,      1.516614, , 
           18,      1.529383, , 
        18.25,      1.541441, , 
         18.5,      1.553245, , 
        18.75,      1.564496, , 
           19,      1.575586, , 
        19.25,       1.58598, , 
         19.5,      1.596097, , 
        19.75,      1.605408, , 
           20,      1.614234, , 
        20.25,      1.622222, , 
         20.5,      1.629924, , 
        20.75,      1.636555, , 
           21,       1.64277, , 
        21.25,      1.647764, , 

