Alpha,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
          -12,    -0.5885066, , 
        -11.5,    -0.5779273, , 
          -11,    -0.5791627, , 
        -10.5,    -0.5588938, , 
          -10,    -0.5554914, , 
         -9.5,    -0.5432437, , 
           -9,    -0.5356116, , 
         -8.5,     -0.530589, , 
           -8,    -0.5188501, , 
         -7.5,    -0.5107023, , 
           -7,    -0.4912643, , 
         -6.5,    -0.4621557, , 
           -6,    -0.4245479, , 
         -5.5,    -0.3805063, , 
           -5,    -0.3319983, , 
         -4.5,    -0.2798062, , 
           -4,     -0.224271, , 
         -3.5,    -0.1683619, , 
           -3,    -0.1149524, , 
         -2.5,   -0.06059277, , 
           -2,  -0.006073051, , 
         -1.5,    0.04840077, , 
           -1,     0.1028301, , 
         -0.5,     0.1572009, , 
            0,     0.2114999, , 
          0.5,     0.2657048, , 
            1,     0.3197976, , 
          1.5,     0.3737616, , 
            2,     0.4275685, , 
          2.5,     0.4812054, , 
            3,     0.5346492, , 
          3.5,     0.5877132, , 
            4,     0.6404212, , 
          4.5,     0.6922825, , 
            5,     0.7362981, , 
          5.5,     0.7831224, , 
            6,     0.8346634, , 
          6.5,     0.8843192, , 
            7,     0.9252136, , 
          7.5,     0.9517113, , 
            8,     0.9653827, , 
          8.5,     0.9640458, , 
            9,     0.9449342, , 
          9.5,     0.9087807, , 
           10,     0.8836743, , 
         10.5,     0.8717808, , 
           11,     0.8650463, , 
         11.5,     0.8621247, , 
           12,      0.862289, , 
         12.5,     0.8650866, , 
           13,     0.8794804, , 
         13.5,     0.8766621, , 
           14,     0.8932816, , 
         14.5,     0.8945889, , 
           15,      0.916444, , 
         15.5,      0.918179, , 
           16,     0.9315774, , 
         16.5,     0.9471082, , 
           17,     0.9592025, , 
         17.5,     0.9748525, , 
           18,     0.9895196, , 
         18.5,      1.005069, , 
           19,      1.022376, , 
         19.5,      1.036561, , 
           20,       1.05286, , 

