Cl,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
   -0.5885066,     0.1537942, , 
   -0.5779273,      0.146805, , 
   -0.5791627,     0.1408576, , 
   -0.5588938,      0.132237, , 
   -0.5554914,     0.1253561, , 
   -0.5432437,     0.1175244, , 
   -0.5356116,     0.1103954, , 
    -0.530589,     0.1026322, , 
   -0.5188501,    0.09548641, , 
   -0.5107023,    0.08749791, , 
   -0.4912643,    0.07801505, , 
   -0.4621557,    0.06755407, , 
   -0.4245479,    0.05670757, , 
   -0.3805063,    0.04620756, , 
   -0.3319983,    0.03685862, , 
   -0.2798062,    0.02923991, , 
    -0.224271,    0.02324472, , 
   -0.1683619,    0.01935038, , 
   -0.1149524,    0.01637681, , 
  -0.06059277,    0.01533623, , 
 -0.006073051,    0.01507639, , 
   0.04840077,    0.01493903, , 
    0.1028301,    0.01486877, , 
    0.1572009,    0.01484992, , 
    0.2114999,    0.01487501, , 
    0.2657048,    0.01494042, , 
    0.3197976,    0.01504379, , 
    0.3737616,    0.01518465, , 
    0.4275685,    0.01536617, , 
    0.4812054,    0.01558971, , 
    0.5346492,    0.01586393, , 
    0.5877132,    0.01619691, , 
    0.6404212,    0.01661251, , 
    0.6922825,    0.01729449, , 
    0.7362981,    0.01997435, , 
    0.7831224,    0.02335995, , 
    0.8346634,    0.02739147, , 
    0.8843192,    0.03325523, , 
    0.9252136,    0.04228529, , 
    0.9517113,    0.05050794, , 
    0.9653827,    0.05963581, , 
    0.9640458,     0.0693518, , 
    0.9449342,    0.07932422, , 
    0.9087807,      0.090346, , 
    0.8836743,     0.1066511, , 
    0.8717808,     0.1194509, , 
    0.8650463,     0.1308869, , 
    0.8621247,     0.1415644, , 
     0.862289,     0.1516893, , 
    0.8650866,     0.1613744, , 
    0.8794804,     0.1691329, , 
    0.8766621,     0.1788019, , 
    0.8932816,     0.1869081, , 
    0.8945889,      0.195363, , 
     0.916444,     0.2038749, , 
     0.918179,     0.2113168, , 
    0.9315774,     0.2188681, , 
    0.9471082,     0.2270044, , 
    0.9592025,     0.2343594, , 
    0.9748525,     0.2416099, , 
    0.9895196,     0.2492799, , 
     1.005069,     0.2564094, , 
     1.022376,      0.264638, , 
     1.036561,     0.2707694, , 
      1.05286,     0.2777569, , 

