Cl,Cd, , 
-0.3772369,0.189548, , 
-0.368286,0.1850866, , 
-0.3610006,0.1802369, , 
-0.3495943,0.1758443, , 
-0.3491316,0.1713217, , 
-0.3327848,0.1666792, , 
-0.3365335,0.1625342, , 
-0.317637,0.1578754, , 
-0.3199679,0.1534447, , 
-0.3053153,0.1490936, , 
-0.3078658,0.1446363, , 
-0.3182972,0.1417163, , 
-0.2955147,0.1363832, , 
-0.3238767,0.1328813, , 
-0.2980411,0.1278679, , 
-0.3008174,0.1222747, , 
-0.3220889,0.115203, , 
-0.3048623,0.1100727, , 
-0.3194655,0.1019869, , 
-0.3478889,0.09275062, , 
-0.8636493,0.02424622, , 
-0.8582126,0.02055429, , 
-0.8384897,0.01807261, , 
-0.8158463,0.01572632, , 
-0.7891143,0.01352347, , 
-0.7581837,0.01190567, , 
-0.6927351,0.01000171, , 
-0.6158967,0.008406781, , 
-0.5412635,0.007099061, , 
-0.4651347,0.005990706, , 
-0.3952493,0.005167437, , 
-0.3232979,0.00442811, , 
-0.2487024,0.003769315, , 
-0.1765762,0.003186829, , 
-0.1175408,0.002758839, , 
-0.0575128,0.002333152, , 
-0.001527521,0.00201386, , 
0.05003003,0.00180256, , 
0.1003465,0.001676318, , 
0.1526382,0.001606012, , 
0.2071808,0.001614528, , 
0.2701816,0.001673605, , 
0.3506569,0.001749017, , 
0.4473297,0.001821887, , 
0.5430197,0.001851563, , 
0.6152125,0.001896066, , 
0.6547653,0.002035159, , 
0.6924507,0.002239781, , 
0.7310458,0.002500747, , 
0.7707568,0.002800797, , 
0.8083479,0.003157489, , 
0.846802,0.003552644, , 
0.8851411,0.003985297, , 
0.9220714,0.004456124, , 
0.9571542,0.00495578, , 
0.9904926,0.005492466, , 
1.021827,0.006138295, , 
1.048148,0.006896702, , 
1.069755,0.007862061, , 
1.082839,0.009030853, , 
1.093164,0.01051274, , 
1.101829,0.01246083, , 
1.109985,0.01490909, , 
1.215737,0.03087142, , 
1.232016,0.03362227, , 
1.248941,0.03658167, , 
1.266003,0.03968507, , 
1.283506,0.04292997, , 
1.302001,0.04631645, , 
1.321025,0.04977012, , 
1.346154,0.05297134, , 
1.341935,0.05840093, , 
1.361721,0.06223669, , 
1.341704,0.06949507, , 
1.347052,0.07471253, , 
1.327231,0.08322714, , 
1.275191,0.09648915, , 
1.202462,0.1151473, , 
