Alpha,T1-38.9 m/s-LLT, , 
          -15,    0.06211687, , 
       -14.75,    0.05996479, , 
        -14.5,    0.05778049, , 
       -14.25,    0.05561842, , 
          -14,     0.0534838, , 
       -13.75,    0.05139206, , 
        -13.5,    0.04932022, , 
       -13.25,    0.04728956, , 
          -13,    0.04529312, , 
       -12.75,    0.04333193, , 
        -12.5,    0.04140958, , 
       -12.25,    0.03952302, , 
          -12,     0.0376753, , 
       -11.75,    0.03586805, , 
        -11.5,    0.03409824, , 
       -11.25,    0.03236996, , 
          -11,    0.03068361, , 
       -10.75,    0.02903651, , 
        -10.5,    0.02743257, , 
       -10.25,    0.02587094, , 
          -10,    0.02435155, , 
        -9.75,     0.0228758, , 
         -9.5,    0.02144408, , 
        -9.25,     0.0200558, , 
           -9,    0.01871176, , 
        -8.75,    0.01741285, , 
         -8.5,     0.0161585, , 
        -8.25,    0.01494957, , 
           -8,    0.01378613, , 
        -7.75,    0.01266838, , 
         -7.5,    0.01159677, , 
        -7.25,    0.01057136, , 
           -7,   0.009592413, , 
        -6.75,   0.008660018, , 
         -6.5,   0.007774622, , 
        -6.25,   0.006936218, , 
           -6,   0.006144907, , 
        -5.75,   0.005401103, , 
         -5.5,   0.004704645, , 
        -5.25,   0.004055883, , 
           -5,   0.003454872, , 
        -4.75,   0.002901679, , 
         -4.5,   0.002396516, , 
        -4.25,   0.001939377, , 
           -4,   0.001530418, , 
        -3.75,   0.001169666, , 
         -3.5,  0.0008572519, , 
        -3.25,  0.0005931797, , 
           -3,  0.0003775087, , 
        -2.75,  0.0002103539, , 
         -2.5,  9.170287e-05, , 
        -2.25,  2.158716e-05, , 
           -2,  2.304524e-08, , 
        -1.75,  2.702582e-05, , 
         -1.5,  0.0001026096, , 
        -1.25,  0.0002267703, , 
           -1,   0.000399497, , 
        -0.75,  0.0006207914, , 
         -0.5,  0.0008906039, , 
        -0.25,   0.001208915, , 
            0,   0.001575698, , 
         0.25,   0.001990888, , 
          0.5,   0.002454447, , 
         0.75,    0.00296627, , 
            1,   0.003526368, , 
         1.25,   0.004134564, , 
          1.5,   0.004790846, , 
         1.75,   0.005495139, , 
            2,   0.006247184, , 
         2.25,   0.007047111, , 
          2.5,   0.007894571, , 
         2.75,   0.008789514, , 
            3,   0.009731928, , 
         3.25,     0.0107215, , 
          3.5,    0.01175811, , 
         3.75,    0.01284159, , 
            4,    0.01397193, , 
         4.25,    0.01514864, , 
          4.5,    0.01637163, , 
         4.75,    0.01764093, , 
            5,     0.0189558, , 
         5.25,    0.02031668, , 
          5.5,    0.02172297, , 
         5.75,    0.02317392, , 
            6,    0.02466997, , 
         6.25,    0.02621109, , 
          6.5,    0.02779587, , 
         6.75,    0.02942455, , 
            7,    0.03109787, , 
         7.25,    0.03281283, , 
          7.5,    0.03457131, , 
         7.75,    0.03637342, , 
            8,    0.03821577, , 
         8.25,    0.04010066, , 
          8.5,    0.04202735, , 
         8.75,    0.04399305, , 
            9,    0.04600026, , 
         9.25,    0.04804698, , 
          9.5,    0.05013161, , 
         9.75,    0.05225702, , 
           10,    0.05441738, , 
        10.25,    0.05661572, , 
         10.5,    0.05885257, , 
        10.75,    0.06112114, , 
           11,    0.06342805, , 
        11.25,    0.06576688, , 
         11.5,    0.06813266, , 
        11.75,      0.070543, , 
           12,    0.07297104, , 
        12.25,    0.07543686, , 
         12.5,    0.07792715, , 
        12.75,    0.08044748, , 
           13,    0.08299187, , 
        13.25,    0.08555703, , 
         13.5,    0.08814993, , 
        13.75,      0.090755, , 
           14,    0.09338001, , 
        14.25,    0.09601839, , 
         14.5,    0.09866162, , 
        14.75,     0.1012825, , 
           15,     0.1039026, , 
        15.25,     0.1065369, , 
         15.5,      0.109164, , 
        15.75,     0.1117987, , 
           16,     0.1143842, , 
        16.25,     0.1169502, , 
         16.5,     0.1195327, , 
        16.75,     0.1221073, , 
           17,     0.1245759, , 
        17.25,     0.1270463, , 
         17.5,     0.1294806, , 
        17.75,     0.1319083, , 
           18,     0.1342907, , 
        18.25,     0.1366014, , 
         18.5,     0.1388751, , 
        18.75,     0.1410681, , 

