Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.119839, , 
       -14.75,     -1.100023, , 
        -14.5,     -1.080371, , 
       -14.25,     -1.060562, , 
          -14,     -1.040563, , 
       -13.75,     -1.020428, , 
        -13.5,     -1.000159, , 
       -13.25,    -0.9797483, , 
          -13,    -0.9592103, , 
       -12.75,    -0.9385779, , 
        -12.5,    -0.9178058, , 
       -12.25,     -0.896964, , 
          -12,    -0.8759972, , 
       -11.75,    -0.8549546, , 
        -11.5,    -0.8338428, , 
       -11.25,    -0.8126221, , 
          -11,    -0.7913539, , 
       -10.75,    -0.7700329, , 
        -10.5,    -0.7485722, , 
       -10.25,    -0.7271345, , 
          -10,    -0.7055434, , 
        -9.75,    -0.6839885, , 
         -9.5,    -0.6622806, , 
        -9.25,     -0.640618, , 
           -9,    -0.6188608, , 
        -8.75,    -0.5970135, , 
         -8.5,     -0.575206, , 
        -8.25,    -0.5533192, , 
           -8,    -0.5313968, , 
        -7.75,    -0.5094233, , 
         -7.5,    -0.4874264, , 
        -7.25,     -0.465385, , 
           -7,    -0.4433201, , 
        -6.75,    -0.4212268, , 
         -6.5,    -0.3990974, , 
        -6.25,    -0.3769513, , 
           -6,    -0.3547697, , 
        -5.75,    -0.3325739, , 
         -5.5,    -0.3103514, , 
        -5.25,    -0.2881103, , 
           -5,    -0.2658544, , 
        -4.75,    -0.2435722, , 
         -4.5,    -0.2212839, , 
        -4.25,    -0.1989718, , 
           -4,    -0.1766529, , 
        -3.75,    -0.1543214, , 
         -3.5,    -0.1319749, , 
        -3.25,    -0.1096268, , 
           -3,   -0.08726129, , 
        -2.75,   -0.06489436, , 
         -2.5,   -0.04252148, , 
        -2.25,   -0.02014295, , 
           -2,   0.002235468, , 
        -1.75,    0.02461968, , 
         -1.5,    0.04700376, , 
        -1.25,    0.06938669, , 
           -1,    0.09176854, , 
        -0.75,     0.1141494, , 
         -0.5,     0.1365224, , 
        -0.25,     0.1588946, , 
            0,     0.1812575, , 
         0.25,     0.2036131, , 
          0.5,     0.2259634, , 
         0.75,     0.2482981, , 
            1,     0.2706283, , 
         1.25,     0.2929399, , 
          1.5,     0.3152414, , 
         1.75,     0.3375279, , 
            2,      0.359795, , 
         2.25,     0.3820507, , 
          2.5,       0.40428, , 
         2.75,     0.4264966, , 
            3,     0.4486849, , 
         3.25,     0.4708524, , 
          3.5,     0.4930006, , 
         3.75,     0.5151144, , 
            4,       0.53721, , 
         4.25,     0.5592665, , 
          4.5,     0.5812995, , 
         4.75,     0.6032988, , 
            5,     0.6252599, , 
         5.25,     0.6471917, , 
          5.5,     0.6690798, , 
         5.75,     0.6909372, , 
            6,     0.7127903, , 
         6.25,     0.7345161, , 
          6.5,     0.7562759, , 
         6.75,      0.777904, , 
            7,     0.7995802, , 
         7.25,     0.8210965, , 
          7.5,     0.8426617, , 
         7.75,     0.8641136, , 
            8,     0.8854619, , 
         8.25,      0.906847, , 
          8.5,      0.928058, , 
         8.75,      0.949305, , 
            9,     0.9704233, , 
         9.25,     0.9914696, , 
          9.5,      1.012436, , 
         9.75,      1.033308, , 
           10,      1.054097, , 
        10.25,      1.074795, , 
         10.5,      1.095385, , 
        10.75,      1.115871, , 
           11,      1.136261, , 
        11.25,      1.156494, , 
         11.5,      1.176658, , 
        11.75,      1.196637, , 
           12,      1.216502, , 
        12.25,      1.236218, , 
         12.5,      1.255732, , 
        12.75,      1.275164, , 
           13,       1.29433, , 
        13.25,      1.313373, , 
         13.5,       1.33209, , 
        13.75,       1.35061, , 
           14,      1.368893, , 
        14.25,      1.386784, , 
         14.5,      1.404447, , 
        14.75,      1.421154, , 
           15,      1.437682, , 
        15.25,      1.453412, , 
         15.5,      1.468506, , 
        15.75,      1.483282, , 
           16,      1.497531, , 
        16.25,      1.511381, , 
         16.5,      1.524901, , 
        16.75,      1.537558, , 
           17,      1.549721, , 
        17.25,      1.561527, , 
         17.5,      1.572816, , 
        17.75,      1.583649, , 
           18,      1.593886, , 
        18.25,      1.603439, , 
         18.5,      1.612328, , 
        18.75,      1.620656, , 
           19,      1.628094, , 
        19.25,      1.634878, , 

