CD,T1-38.9 m/s-LLT, , 
   0.07484981,     -1.057857, , 
   0.07249317,     -1.038324, , 
   0.07011147,     -1.019284, , 
   0.06776551,     -1.000093, , 
   0.06545816,    -0.9808309, , 
   0.06319027,    -0.9614648, , 
   0.06096306,    -0.9419894, , 
   0.05877676,    -0.9224381, , 
   0.05663201,    -0.9028061, , 
   0.05452963,    -0.8830951, , 
   0.05247031,    -0.8633021, , 
   0.05045394,    -0.8434551, , 
   0.04848185,    -0.8235227, , 
    0.0465539,    -0.8035359, , 
   0.04466661,    -0.7835513, , 
   0.04283236,    -0.7633947, , 
   0.04103643,    -0.7432876, , 
   0.03929277,      -0.72304, , 
   0.03758944,    -0.7028242, , 
   0.03593429,     -0.682541, , 
   0.03433032,    -0.6621415, , 
   0.03276702,    -0.6418003, , 
   0.03125607,    -0.6213362, , 
   0.02978757,    -0.6009176, , 
   0.02836902,    -0.5804266, , 
   0.02699906,    -0.5598894, , 
   0.02567632,    -0.5393301, , 
   0.02440225,    -0.5187349, , 
    0.0231765,    -0.4981105, , 
   0.02199876,    -0.4774647, , 
   0.02087056,    -0.4567827, , 
    0.0197904,    -0.4360838, , 
   0.01875979,    -0.4153565, , 
   0.01777811,    -0.3946074, , 
   0.01684467,    -0.3738441, , 
   0.01596207,    -0.3530501, , 
   0.01512746,    -0.3322462, , 
   0.01434268,    -0.3114223, , 
   0.01360779,    -0.2905793, , 
   0.01292148,    -0.2697273, , 
   0.01228615,    -0.2488534, , 
   0.01169915,     -0.227973, , 
   0.01116264,    -0.2070781, , 
   0.01067626,    -0.1861694, , 
   0.01023799,    -0.1652575, , 
  0.009851894,    -0.1443287, , 
  0.009514024,    -0.1233962, , 
  0.009226074,    -0.1024575, , 
  0.008990082,   -0.08150673, , 
  0.008801217,   -0.06055614, , 
  0.008663793,   -0.03959977, , 
  0.008575748,   -0.01864023, , 
   0.00853483,   0.002319185, , 
  0.008548679,    0.02328406, , 
  0.008609645,    0.04424884, , 
  0.008720027,    0.06521298, , 
  0.008882211,    0.08617577, , 
  0.009091566,     0.1071386, , 
  0.009352477,     0.1280958, , 
  0.009662755,     0.1490503, , 
   0.01002129,     0.1700023, , 
   0.01043114,     0.1909445, , 
    0.0108891,     0.2118844, , 
   0.01139677,     0.2328149, , 
   0.01195425,     0.2537359, , 
      0.01256,     0.2746518, , 
   0.01321581,     0.2955524, , 
   0.01391992,     0.3164466, , 
   0.01467332,     0.3373262, , 
   0.01547571,     0.3581912, , 
   0.01632597,     0.3790483, , 
   0.01722587,      0.399882, , 
   0.01817363,     0.4207053, , 
   0.01916966,     0.4415116, , 
   0.02021431,     0.4622961, , 
   0.02130652,     0.4830676, , 
   0.02244712,     0.5038113, , 
   0.02363515,     0.5245383, , 
   0.02487079,     0.5452419, , 
   0.02615402,     0.5659185, , 
   0.02748404,     0.5865779, , 
   0.02886134,     0.6072037, , 
   0.03028541,     0.6278039, , 
   0.03175607,     0.6483737, , 
   0.03327303,     0.6689143, , 
   0.03483589,     0.6894321, , 
   0.03644511,     0.7098977, , 
   0.03809952,      0.730342, , 
   0.03979922,     0.7507487, , 
   0.04154037,     0.7711574, , 
   0.04333318,     0.7914499, , 
    0.0451635,     0.8117683, , 
   0.04704494,     0.8319675, , 
    0.0489627,     0.8522136, , 
   0.05093121,     0.8723135, , 
   0.05293919,     0.8924108, , 
   0.05498489,     0.9125036, , 
   0.05707637,     0.9324963, , 
   0.05920973,     0.9524308, , 
   0.06138432,     0.9723106, , 
    0.0636038,      0.992076, , 
   0.06585399,      1.011857, , 
   0.06814795,      1.031558, , 
   0.07047983,      1.051149, , 
   0.07285076,      1.070687, , 
   0.07525844,      1.090145, , 
   0.07770134,      1.109488, , 
   0.08018251,      1.128804, , 
   0.08269513,      1.147966, , 
   0.08524277,      1.167053, , 
   0.08782406,      1.186064, , 
   0.09043343,        1.2049, , 
   0.09307821,      1.223708, , 
   0.09574586,      1.242301, , 
   0.09844343,      1.260801, , 
    0.1011683,      1.279189, , 
    0.1039112,      1.297342, , 
    0.1066841,      1.315447, , 
    0.1094601,      1.333293, , 
    0.1122648,      1.350984, , 
    0.1150842,      1.368469, , 
    0.1179051,      1.385614, , 
    0.1207476,      1.402578, , 
    0.1235541,      1.419101, , 
    0.1263608,      1.435213, , 
    0.1290827,      1.450519, , 
    0.1317413,      1.465132, , 
    0.1344479,      1.479747, , 
    0.1371369,      1.493833, , 
    0.1397973,       1.50757, , 
    0.1424649,       1.52093, , 
    0.1451393,      1.533993, , 
    0.1477657,      1.546411, , 
    0.1503867,      1.558441, , 
    0.1529908,      1.569893, , 
    0.1555418,      1.580586, , 
    0.1580988,      1.591033, , 
    0.1606748,       1.60083, , 
    0.1632641,      1.610382, , 
    0.1658629,      1.619079, , 
    0.1684676,      1.627274, , 
    0.1711116,      1.634699, , 
    0.1737598,      1.641286, , 
    0.1764136,      1.646905, , 

