Alpha,T1-38.9 m/s-LLT, , 
          -15,     0.0614772, , 
       -14.75,    0.05936354, , 
        -14.5,    0.05719729, , 
       -14.25,    0.05505426, , 
          -14,     0.0529476, , 
       -13.75,     0.0508671, , 
        -13.5,    0.04882736, , 
       -13.25,    0.04681086, , 
          -13,    0.04483579, , 
       -12.75,    0.04289478, , 
        -12.5,    0.04099168, , 
       -12.25,    0.03912551, , 
          -12,    0.03729649, , 
       -11.75,    0.03550747, , 
        -11.5,    0.03375686, , 
       -11.25,    0.03204654, , 
          -11,    0.03037664, , 
       -10.75,    0.02874714, , 
        -10.5,    0.02716008, , 
       -10.25,    0.02561387, , 
          -10,    0.02411076, , 
        -9.75,    0.02265057, , 
         -9.5,    0.02123252, , 
        -9.25,    0.01985905, , 
           -9,    0.01852868, , 
        -8.75,    0.01724255, , 
         -8.5,    0.01600142, , 
        -8.25,     0.0148043, , 
           -8,    0.01365274, , 
        -7.75,    0.01254629, , 
         -7.5,    0.01148525, , 
        -7.25,    0.01047027, , 
           -7,   0.009500847, , 
        -6.75,   0.008577914, , 
         -6.5,   0.007701201, , 
        -6.25,   0.006870914, , 
           -6,   0.006087627, , 
        -5.75,    0.00535084, , 
         -5.5,   0.004661257, , 
        -5.25,   0.004018865, , 
           -5,   0.003423489, , 
        -4.75,   0.002875718, , 
         -4.5,   0.002375299, , 
        -4.25,   0.001922473, , 
           -4,   0.001517415, , 
        -3.75,   0.001159947, , 
         -3.5,   0.000850385, , 
        -3.25,  0.0005886944, , 
           -3,  0.0003748961, , 
        -2.75,  0.0002091203, , 
         -2.5,  9.134707e-05, , 
        -2.25,  2.162441e-05, , 
           -2, -2.988887e-08, , 
        -1.75,  2.639653e-05, , 
         -1.5,  0.0001009149, , 
        -1.25,  0.0002235211, , 
           -1,   0.000394205, , 
        -0.75,  0.0006129713, , 
         -0.5,   0.000879754, , 
        -0.25,    0.00119455, , 
            0,   0.001557364, , 
         0.25,   0.001968012, , 
          0.5,     0.0024266, , 
         0.75,    0.00293299, , 
            1,   0.003487038, , 
         1.25,   0.004088902, , 
          1.5,   0.004738159, , 
         1.75,   0.005434949, , 
            2,   0.006179234, , 
         2.25,   0.006970535, , 
          2.5,   0.007809204, , 
         2.75,   0.008694758, , 
            3,   0.009627108, , 
         3.25,    0.01060642, , 
          3.5,    0.01163199, , 
         3.75,     0.0127042, , 
            4,     0.0138225, , 
         4.25,    0.01498674, , 
          4.5,    0.01619721, , 
         4.75,    0.01745269, , 
            5,    0.01875399, , 
         5.25,    0.02010049, , 
          5.5,    0.02149135, , 
         5.75,    0.02292768, , 
            6,    0.02440761, , 
         6.25,    0.02593177, , 
          6.5,    0.02750024, , 
         6.75,    0.02911139, , 
            7,     0.0307664, , 
         7.25,    0.03246374, , 
          7.5,    0.03420345, , 
         7.75,    0.03598541, , 
            8,    0.03780831, , 
         8.25,    0.03967342, , 
          8.5,    0.04157857, , 
         8.75,    0.04352352, , 
            9,    0.04550935, , 
         9.25,     0.0475328, , 
          9.5,     0.0495965, , 
         9.75,    0.05169712, , 
           10,    0.05383448, , 
        10.25,    0.05601119, , 
         10.5,    0.05822128, , 
        10.75,    0.06046742, , 
           11,    0.06274851, , 
        11.25,    0.06506178, , 
         11.5,    0.06741105, , 
        11.75,    0.06978852, , 
           12,    0.07219184, , 
        12.25,     0.0746377, , 
         12.5,      0.077098, , 
        12.75,    0.07960025, , 
           13,    0.08211571, , 
        13.25,    0.08465816, , 
         13.5,    0.08722635, , 
        13.75,     0.0898141, , 
           14,    0.09242225, , 
        14.25,    0.09504725, , 
         14.5,    0.09768549, , 
        14.75,      0.100334, , 
           15,     0.1029925, , 
        15.25,     0.1056578, , 
         15.5,     0.1083258, , 
        15.75,      0.110986, , 
           16,      0.113628, , 
        16.25,     0.1162723, , 
         16.5,     0.1188021, , 
        16.75,     0.1213027, , 
           17,     0.1236627, , 
        17.25,     0.1260544, , 
         17.5,     0.1284112, , 
        17.75,     0.1307085, , 
           18,     0.1329866, , 
        18.25,     0.1351593, , 
         18.5,     0.1372894, , 
        18.75,     0.1393612, , 
           19,     0.1414167, , 
        19.25,     0.1433905, , 
         19.5,     0.1453041, , 
        19.75,     0.1471116, , 
           20,     0.1488429, , 
        20.25,     0.1504474, , 
         20.5,     0.1519983, , 
        20.75,     0.1533911, , 
           21,     0.1547324, , 
        21.25,     0.1558714, , 

