Cl,T1_Re0.145_M0.00_N9.0, , Cl,T1_Re0.145_M0.00_N9.0, , Cl,T1_Re0.145_M0.00_N9.0, , Cl,T1_Re0.145_M0.00_N9.0, , 
, , ,     0.7310458,   0.002500747, ,     0.8588296,    0.01738486, ,      1.093366,    0.02183208, , 
, , ,     0.7707568,   0.002800797, ,      0.895046,     0.0176933, ,      1.114176,    0.02231814, , 
, , ,     0.8083479,   0.003157489, ,     0.9309679,    0.01808316, ,      1.133595,    0.02284002, , 
, , ,      0.846802,   0.003552644, ,     0.9634587,    0.01852337, ,      1.152171,    0.02339514, , 
, , ,     0.8851411,   0.003985297, ,     0.9993841,    0.01897398, ,        1.1705,    0.02399398, , 
, , ,     0.9220714,   0.004456124, ,      1.030389,    0.01949856, ,      1.188255,    0.02465112, , 
, , ,     0.9571542,    0.00495578, ,      1.063633,    0.02001198, ,      1.204628,    0.02538705, , 
, , ,     0.9904926,   0.005492466, ,      1.092796,    0.02060076, ,      1.222276,    0.02624773, , 
, , ,      1.021827,   0.006138295, ,      1.124326,    0.02121063, ,      1.244523,    0.02727294, , 
, , ,      1.048148,   0.006896702, ,      1.150203,    0.02195506, ,      1.261619,    0.02859748, , 
, , ,      1.069755,   0.007862061, ,      1.176549,    0.02281135, ,      1.274368,     0.0302396, , 
, , ,      1.082839,   0.009030853, ,      1.198657,    0.02377531, ,      1.288084,    0.03210016, , 
, , ,      1.093164,    0.01051274, ,      1.214027,    0.02497515, ,      1.301999,    0.03418145, , 
, , ,      1.101829,    0.01246083, ,      1.231606,     0.0264405, ,      1.315717,    0.03649181, , 
, , ,      1.109985,    0.01490909, ,      1.248168,    0.02816754, ,      1.328529,    0.03904716, , 
, , ,      1.215737,    0.03087142, ,      1.260979,    0.03029033, ,      1.340345,    0.04187075, , 
, , ,      1.232016,    0.03362227, ,      1.275625,    0.03263388, ,       1.34988,    0.04501391, , 
, , ,      1.248941,    0.03658167, ,       1.28543,    0.03544191, ,      1.356498,    0.04856664, , 
, , ,      1.266003,    0.03968507, ,      1.298197,    0.03835021, ,      1.359571,    0.05263181, , 
, , ,      1.283506,    0.04292997, ,      1.307973,    0.04169138, ,      1.359419,    0.05726374, , 
, , ,      1.302001,    0.04631645, ,      1.315822,    0.04535733, ,      1.357255,     0.0623739, , 
, , ,      1.321025,    0.04977012, ,      1.324314,    0.04918525, ,      1.356084,    0.06765008, , 
, , ,      1.346154,    0.05297134, ,      1.332656,    0.05320183, ,       1.36188,    0.07232199, , 
, , ,      1.341935,    0.05840093, ,      1.342095,    0.05731037, ,      1.381359,    0.07552829, , 
, , ,      1.361721,    0.06223669, ,      1.355066,    0.06117866, ,      1.345575,    0.08544094, , 
, , ,      1.341704,    0.06949507, ,      1.357972,    0.06617806, ,      1.337958,    0.09226699, , 
, , ,      1.347052,    0.07471253, ,      1.353079,    0.07232203, ,      1.373042,    0.09350049, , 
, , ,      1.327231,    0.08322714, ,       1.36682,    0.07643346, , , , , 
, , ,      1.275191,    0.09648915, ,      1.348859,    0.08450763, , , , , 
, , ,      1.202462,     0.1151473, ,        1.3525,    0.09008889, , , , , 
, , , , , ,      1.316705,      0.101411, , , , , 
, , , , , ,      1.334705,     0.1050955, , , , , 

