Alpha,T1-38.9 m/s-LLT, , 
       -11.24,    -0.6718505, , 
       -11.22,    -0.6702697, , 
        -11.2,    -0.6686207, , 
       -11.18,    -0.6669831, , 
       -11.16,    -0.6654015, , 
       -11.14,    -0.6637517, , 
       -11.12,    -0.6621134, , 
        -11.1,    -0.6605307, , 
       -11.08,    -0.6588784, , 
       -11.06,    -0.6572371, , 
       -11.04,    -0.6556529, , 
       -11.02,    -0.6540003, , 
          -11,    -0.6523592, , 
       -10.98,    -0.6507752, , 
       -10.96,    -0.6491221, , 
       -10.94,    -0.6474801, , 
       -10.92,    -0.6458944, , 
        -10.9,    -0.6442402, , 
       -10.88,    -0.6425975, , 
       -10.86,     -0.641012, , 
       -10.84,    -0.6393564, , 
       -10.82,    -0.6377122, , 
        -10.8,    -0.6361254, , 
       -10.78,    -0.6344699, , 
       -10.76,    -0.6328258, , 
       -10.74,    -0.6312391, , 
       -10.72,    -0.6295836, , 
        -10.7,    -0.6279396, , 
       -10.68,    -0.6263529, , 
       -10.66,    -0.6246974, , 
       -10.64,    -0.6230531, , 
       -10.62,    -0.6214654, , 
        -10.6,    -0.6198088, , 
       -10.58,    -0.6181625, , 
       -10.56,    -0.6165737, , 
       -10.54,     -0.614916, , 
       -10.52,    -0.6132698, , 
        -10.5,     -0.611681, , 
       -10.48,    -0.6100225, , 
       -10.46,    -0.6083753, , 
       -10.44,    -0.6067856, , 
       -10.42,    -0.6051259, , 
        -10.4,    -0.6034766, , 
       -10.38,    -0.6018851, , 
       -10.36,    -0.6002244, , 
       -10.34,    -0.5985754, , 
       -10.32,     -0.596984, , 
        -10.3,     -0.595323, , 
       -10.28,    -0.5936735, , 
       -10.26,    -0.5920813, , 
       -10.24,    -0.5904191, , 
       -10.22,    -0.5887686, , 
        -10.2,    -0.5871759, , 
       -10.18,    -0.5855139, , 
       -10.16,    -0.5838622, , 
       -10.14,    -0.5822684, , 
       -10.12,    -0.5806051, , 
        -10.1,    -0.5789535, , 
       -10.08,    -0.5773598, , 
       -10.06,    -0.5756965, , 
       -10.04,    -0.5740449, , 
       -10.02,    -0.5724513, , 
          -10,     -0.570788, , 
        -9.98,    -0.5691364, , 
        -9.96,    -0.5675423, , 
        -9.94,    -0.5658781, , 
        -9.92,    -0.5642255, , 
         -9.9,    -0.5626299, , 
        -9.88,    -0.5609646, , 
        -9.86,     -0.559311, , 
        -9.84,    -0.5577153, , 
        -9.82,    -0.5560499, , 
         -9.8,    -0.5543955, , 
        -9.78,    -0.5527993, , 
        -9.76,    -0.5511333, , 
        -9.74,    -0.5494778, , 
        -9.72,    -0.5478799, , 
         -9.7,    -0.5462121, , 
        -9.68,    -0.5446071, , 
        -9.66,    -0.5429359, , 
        -9.64,    -0.5412776, , 
        -9.62,    -0.5396783, , 
         -9.6,    -0.5380096, , 
        -9.58,    -0.5364034, , 
        -9.56,    -0.5347307, , 
        -9.54,    -0.5330713, , 
        -9.52,    -0.5314711, , 
         -9.5,    -0.5298015, , 
        -9.48,    -0.5281429, , 
        -9.46,    -0.5265428, , 
        -9.44,    -0.5248726, , 
        -9.42,    -0.5232654, , 
         -9.4,    -0.5215918, , 
        -9.38,    -0.5199315, , 
        -9.36,    -0.5183304, , 
        -9.34,    -0.5166597, , 
        -9.32,    -0.5150011, , 
         -9.3,     -0.513401, , 
        -9.28,    -0.5117302, , 
        -9.26,    -0.5100711, , 
        -9.24,    -0.5084705, , 
        -9.22,    -0.5067985, , 
         -9.2,    -0.5051895, , 
        -9.18,     -0.503514, , 
        -9.16,    -0.5018518, , 
        -9.14,     -0.500249, , 
        -9.12,     -0.498576, , 
         -9.1,    -0.4969662, , 
        -9.08,    -0.4952898, , 
        -9.06,    -0.4936259, , 
        -9.04,    -0.4920211, , 
        -9.02,    -0.4903464, , 
           -9,    -0.4887353, , 
        -8.98,    -0.4870574, , 
        -8.96,    -0.4853928, , 
        -8.94,    -0.4837878, , 
        -8.92,    -0.4821129, , 
         -8.9,    -0.4805011, , 
        -8.88,    -0.4788223, , 
        -8.86,    -0.4771569, , 
        -8.84,    -0.4755513, , 
        -8.82,    -0.4738756, , 
         -8.8,    -0.4722629, , 
        -8.78,     -0.470583, , 
        -8.76,    -0.4689167, , 
        -8.74,    -0.4673101, , 
        -8.72,    -0.4656335, , 
         -8.7,    -0.4640205, , 
        -8.68,    -0.4623408, , 
        -8.66,    -0.4606745, , 
        -8.64,     -0.459068, , 
        -8.62,    -0.4573914, , 
         -8.6,    -0.4557777, , 
        -8.58,    -0.4540971, , 
        -8.56,      -0.45243, , 
        -8.54,     -0.450822, , 
        -8.52,    -0.4491437, , 
         -8.5,    -0.4475292, , 
        -8.48,    -0.4458479, , 
        -8.46,      -0.44418, , 
        -8.44,    -0.4425717, , 
        -8.42,     -0.440893, , 
         -8.4,    -0.4392777, , 
        -8.38,    -0.4375951, , 
        -8.36,     -0.435977, , 
        -8.34,     -0.434293, , 
        -8.32,    -0.4326743, , 
         -8.3,    -0.4309897, , 
        -8.28,    -0.4293707, , 
        -8.26,     -0.427686, , 
        -8.24,     -0.426067, , 
        -8.22,     -0.424382, , 
         -8.2,    -0.4227107, , 
        -8.18,    -0.4210997, , 
        -8.16,    -0.4194185, , 
        -8.14,    -0.4178015, , 
        -8.12,    -0.4161169, , 
         -8.1,    -0.4144972, , 
        -8.08,    -0.4128113, , 
        -8.06,    -0.4111395, , 
        -8.04,     -0.409528, , 
        -8.02,    -0.4078461, , 
           -8,    -0.4062284, , 
        -7.98,    -0.4045436, , 
        -7.96,    -0.4029238, , 
        -7.94,    -0.4012378, , 
        -7.92,    -0.3995652, , 
         -7.9,    -0.3979531, , 
        -7.88,    -0.3962705, , 
        -7.86,    -0.3946517, , 
        -7.84,    -0.3929654, , 
        -7.82,    -0.3913445, , 
         -7.8,    -0.3896573, , 
        -7.78,    -0.3880358, , 
        -7.76,    -0.3863481, , 
        -7.74,     -0.384726, , 
        -7.72,    -0.3830376, , 
         -7.7,    -0.3814151, , 
        -7.68,     -0.379726, , 
        -7.66,    -0.3781029, , 
        -7.64,    -0.3764136, , 
        -7.62,    -0.3747903, , 
         -7.6,     -0.373101, , 
        -7.58,    -0.3714777, , 
        -7.56,    -0.3697883, , 
        -7.54,    -0.3681648, , 
        -7.52,    -0.3664747, , 
         -7.5,    -0.3648509, , 
        -7.48,    -0.3631609, , 
        -7.46,    -0.3615371, , 
        -7.44,    -0.3598469, , 
        -7.42,    -0.3582223, , 
         -7.4,    -0.3565316, , 
        -7.38,    -0.3549072, , 
        -7.36,    -0.3532165, , 
        -7.34,     -0.351592, , 
        -7.32,    -0.3499013, , 
         -7.3,    -0.3482767, , 
        -7.28,    -0.3465859, , 
        -7.26,    -0.3449612, , 
        -7.24,      -0.34327, , 
        -7.22,     -0.341645, , 
         -7.2,    -0.3399538, , 
        -7.18,    -0.3383285, , 
        -7.16,    -0.3366366, , 
        -7.14,     -0.335011, , 
        -7.12,    -0.3333192, , 
         -7.1,    -0.3316936, , 
        -7.08,    -0.3300016, , 
        -7.06,    -0.3283754, , 
        -7.04,    -0.3266829, , 
        -7.02,    -0.3250568, , 
           -7,    -0.3233637, , 
        -6.98,    -0.3217368, , 
        -6.96,    -0.3200435, , 
        -6.94,    -0.3184166, , 
        -6.92,    -0.3167233, , 
         -6.9,    -0.3150965, , 
        -6.88,    -0.3134032, , 
        -6.86,    -0.3117762, , 
        -6.84,    -0.3100824, , 
        -6.82,     -0.308455, , 
         -6.8,    -0.3067613, , 
        -6.78,     -0.305134, , 
        -6.76,    -0.3034402, , 
        -6.74,    -0.3018123, , 
        -6.72,    -0.3001179, , 
         -6.7,      -0.29849, , 
        -6.68,    -0.2967956, , 
        -6.66,    -0.2951676, , 
        -6.64,    -0.2934732, , 
        -6.62,    -0.2918453, , 
         -6.6,    -0.2901509, , 
        -6.58,    -0.2885228, , 
        -6.56,     -0.286828, , 
        -6.54,    -0.2851997, , 
        -6.52,    -0.2835049, , 
         -6.5,    -0.2818765, , 
        -6.48,    -0.2801811, , 
        -6.46,    -0.2785523, , 
        -6.44,     -0.276857, , 
        -6.42,    -0.2752282, , 
         -6.4,    -0.2735327, , 
        -6.38,    -0.2719033, , 
        -6.36,    -0.2702074, , 
        -6.34,    -0.2685782, , 
        -6.32,    -0.2668818, , 
         -6.3,    -0.2652519, , 
        -6.28,    -0.2635553, , 
        -6.26,    -0.2619255, , 
        -6.24,     -0.260229, , 
        -6.22,    -0.2585991, , 
         -6.2,    -0.2569026, , 
        -6.18,    -0.2552727, , 
        -6.16,    -0.2535757, , 
        -6.14,    -0.2519454, , 
        -6.12,    -0.2502485, , 
         -6.1,    -0.2486182, , 
        -6.08,    -0.2469213, , 
        -6.06,    -0.2452905, , 
        -6.04,     -0.243593, , 
        -6.02,    -0.2419622, , 
           -6,    -0.2402648, , 
        -5.98,     -0.238634, , 
        -5.96,    -0.2369366, , 
        -5.94,    -0.2353058, , 
        -5.92,    -0.2336084, , 
         -5.9,    -0.2319775, , 
        -5.88,    -0.2302797, , 
        -5.86,    -0.2286487, , 
        -5.84,    -0.2269509, , 
        -5.82,    -0.2253198, , 
         -5.8,    -0.2236215, , 
        -5.78,    -0.2219901, , 
        -5.76,    -0.2202918, , 
        -5.74,    -0.2186604, , 
        -5.72,     -0.216962, , 
         -5.7,    -0.2153301, , 
        -5.68,    -0.2136314, , 
        -5.66,    -0.2119996, , 
        -5.64,    -0.2103006, , 
        -5.62,    -0.2086682, , 
         -5.6,     -0.206969, , 
        -5.58,    -0.2053367, , 
        -5.56,    -0.2036375, , 
        -5.54,    -0.2020052, , 
        -5.52,     -0.200306, , 
         -5.5,    -0.1986737, , 
        -5.48,    -0.1969742, , 
        -5.46,    -0.1953416, , 
        -5.44,     -0.193642, , 
        -5.42,    -0.1920093, , 
         -5.4,    -0.1903097, , 
        -5.38,    -0.1886768, , 
        -5.36,    -0.1869768, , 
        -5.34,    -0.1853438, , 
        -5.32,    -0.1836438, , 
         -5.3,    -0.1820108, , 
        -5.28,    -0.1803109, , 
        -5.26,    -0.1786779, , 
        -5.24,    -0.1769779, , 
        -5.22,    -0.1753448, , 
         -5.2,    -0.1736445, , 
        -5.18,    -0.1720113, , 
        -5.16,     -0.170311, , 
        -5.14,    -0.1686778, , 
        -5.12,    -0.1669772, , 
         -5.1,    -0.1653437, , 
        -5.08,    -0.1636431, , 
        -5.06,    -0.1620096, , 
        -5.04,    -0.1603088, , 
        -5.02,    -0.1586749, , 
           -5,     -0.156974, , 
        -4.98,    -0.1553402, , 
        -4.96,     -0.153639, , 
        -4.94,    -0.1520048, , 
        -4.92,    -0.1503035, , 
         -4.9,    -0.1486693, , 
        -4.88,    -0.1469681, , 
        -4.86,    -0.1453339, , 
        -4.84,    -0.1436326, , 
        -4.82,    -0.1419985, , 
         -4.8,    -0.1402969, , 
        -4.78,    -0.1386624, , 
        -4.76,    -0.1369608, , 
        -4.74,    -0.1353263, , 
        -4.72,    -0.1336247, , 
         -4.7,    -0.1319902, , 
        -4.68,    -0.1302883, , 
        -4.66,    -0.1286536, , 
        -4.64,    -0.1269517, , 
        -4.62,     -0.125317, , 
         -4.6,    -0.1236151, , 
        -4.58,    -0.1219804, , 
        -4.56,    -0.1202785, , 
        -4.54,    -0.1186437, , 
        -4.52,    -0.1169416, , 
         -4.5,    -0.1153067, , 
        -4.48,    -0.1136046, , 
        -4.46,    -0.1119697, , 
        -4.44,    -0.1102676, , 
        -4.42,    -0.1086324, , 
         -4.4,    -0.1069301, , 
        -4.38,    -0.1052949, , 
        -4.36,    -0.1035924, , 
        -4.34,    -0.1019571, , 
        -4.32,    -0.1002546, , 
         -4.3,   -0.09861914, , 
        -4.28,    -0.0969165, , 
        -4.26,   -0.09528092, , 
        -4.24,   -0.09357813, , 
        -4.22,   -0.09194258, , 
         -4.2,    -0.0902398, , 
        -4.18,   -0.08860424, , 
        -4.16,   -0.08690141, , 
        -4.14,   -0.08526582, , 
        -4.12,   -0.08356285, , 
         -4.1,   -0.08192706, , 
        -4.08,   -0.08022404, , 
        -4.06,   -0.07858826, , 
        -4.04,   -0.07688523, , 
        -4.02,   -0.07524944, , 
           -4,   -0.07354624, , 
        -3.98,   -0.07191032, , 
        -3.96,   -0.07020714, , 
        -3.94,   -0.06857123, , 
        -3.92,   -0.06686806, , 
         -3.9,   -0.06523215, , 
        -3.88,   -0.06352898, , 
        -3.86,     -0.061893, , 
        -3.84,   -0.06018966, , 
        -3.82,    -0.0585536, , 
         -3.8,   -0.05685027, , 
        -3.78,   -0.05521422, , 
        -3.76,   -0.05351087, , 
        -3.74,   -0.05187469, , 
        -3.72,   -0.05017124, , 
         -3.7,   -0.04853497, , 
        -3.68,    -0.0468314, , 
        -3.66,   -0.04519512, , 
        -3.64,   -0.04349149, , 
        -3.62,   -0.04185512, , 
         -3.6,   -0.04015146, , 
        -3.58,   -0.03851504, , 
        -3.56,    -0.0368113, , 
        -3.54,   -0.03517485, , 
        -3.52,   -0.03347106, , 
         -3.5,    -0.0318346, , 
        -3.48,   -0.03013082, , 
        -3.46,   -0.02849435, , 
        -3.44,    -0.0267905, , 
        -3.42,   -0.02515391, , 
         -3.4,      -0.02345, , 
        -3.38,   -0.02181343, , 
        -3.36,   -0.02010952, , 
        -3.34,   -0.01847295, , 
        -3.32,   -0.01676898, , 
         -3.3,   -0.01513234, , 
        -3.28,   -0.01342837, , 
        -3.26,   -0.01179174, , 
        -3.24,   -0.01008777, , 
        -3.22,  -0.008451136, , 
         -3.2,  -0.006747169, , 
        -3.18,    -0.0051105, , 
        -3.16,  -0.003406443, , 
        -3.14,  -0.001769732, , 
        -3.12, -6.568215e-05, , 
         -3.1,   0.001571025, , 
        -3.08,   0.003275071, , 
        -3.06,   0.004911843, , 
        -3.04,   0.006615977, , 
        -3.02,    0.00825281, , 
           -3,   0.009956989, , 
        -2.98,    0.01159381, , 
        -2.96,      0.013298, , 
        -2.94,    0.01493484, , 
        -2.92,    0.01663903, , 
         -2.9,    0.01827585, , 
        -2.88,    0.01998001, , 
        -2.86,    0.02161681, , 
        -2.84,    0.02332097, , 
        -2.82,    0.02495778, , 
         -2.8,    0.02666194, , 
        -2.78,    0.02829875, , 
        -2.76,    0.03000292, , 
        -2.74,    0.03163979, , 
        -2.72,      0.033344, , 
         -2.7,    0.03498086, , 
        -2.68,    0.03668507, , 
        -2.66,    0.03832193, , 
        -2.64,    0.04002612, , 
        -2.62,    0.04166294, , 
         -2.6,    0.04336712, , 
        -2.58,    0.04500395, , 
        -2.56,    0.04670813, , 
        -2.54,    0.04834496, , 
        -2.52,    0.05004914, , 
         -2.5,    0.05168599, , 
        -2.48,    0.05339023, , 
        -2.46,     0.0550271, , 
        -2.44,    0.05673134, , 
        -2.42,    0.05836821, , 
         -2.4,    0.06007244, , 
        -2.38,    0.06170929, , 
        -2.36,    0.06341351, , 
        -2.34,    0.06505039, , 
        -2.32,    0.06675462, , 
         -2.3,    0.06839149, , 
        -2.28,    0.07009567, , 
        -2.26,    0.07173252, , 
        -2.24,    0.07343673, , 
        -2.22,    0.07507354, , 
         -2.2,     0.0767776, , 
        -2.18,    0.07841432, , 
        -2.16,     0.0801184, , 
        -2.14,    0.08175513, , 
        -2.12,    0.08345921, , 
         -2.1,    0.08509594, , 
        -2.08,    0.08680002, , 
        -2.06,    0.08843673, , 
        -2.04,    0.09014078, , 
        -2.02,    0.09177749, , 
           -2,    0.09348155, , 
        -1.98,    0.09511826, , 
        -1.96,    0.09682228, , 
        -1.94,    0.09845886, , 
        -1.92,     0.1001628, , 
         -1.9,     0.1017994, , 
        -1.88,     0.1035033, , 
        -1.86,     0.1051399, , 
        -1.84,     0.1068438, , 
        -1.82,     0.1084804, , 
         -1.8,     0.1101844, , 
        -1.78,     0.1118209, , 
        -1.76,     0.1135248, , 
        -1.74,     0.1151614, , 
        -1.72,     0.1168653, , 
         -1.7,     0.1185019, , 
        -1.68,     0.1202057, , 
        -1.66,     0.1218421, , 
        -1.64,     0.1235459, , 
        -1.62,     0.1251824, , 
         -1.6,      0.126886, , 
        -1.58,     0.1285224, , 
        -1.56,      0.130226, , 
        -1.54,     0.1318624, , 
        -1.52,     0.1335658, , 
         -1.5,     0.1352019, , 
        -1.48,     0.1369054, , 
        -1.46,     0.1385415, , 
        -1.44,     0.1402449, , 
        -1.42,     0.1418811, , 
         -1.4,     0.1435845, , 
        -1.38,     0.1452206, , 
        -1.36,      0.146924, , 
        -1.34,       0.14856, , 
        -1.32,     0.1502634, , 
         -1.3,     0.1518994, , 
        -1.28,     0.1536028, , 
        -1.26,     0.1552386, , 
        -1.24,     0.1569417, , 
        -1.22,     0.1585776, , 
         -1.2,     0.1602807, , 
        -1.18,     0.1619166, , 
        -1.16,     0.1636197, , 
        -1.14,     0.1652556, , 
        -1.12,     0.1669587, , 
         -1.1,     0.1685945, , 
        -1.08,     0.1702975, , 
        -1.06,     0.1719333, , 
        -1.04,     0.1736364, , 
        -1.02,     0.1752722, , 
           -1,      0.176975, , 
        -0.98,     0.1786105, , 
        -0.96,     0.1803133, , 
        -0.94,     0.1819488, , 
        -0.92,     0.1836514, , 
         -0.9,     0.1852868, , 
        -0.88,     0.1869894, , 
        -0.86,     0.1886248, , 
        -0.84,      0.190327, , 
        -0.82,     0.1919621, , 
         -0.8,     0.1936643, , 
        -0.78,     0.1952994, , 
        -0.76,     0.1970016, , 
        -0.74,     0.1986367, , 
        -0.72,      0.200339, , 
         -0.7,      0.201974, , 
        -0.68,     0.2036761, , 
        -0.66,      0.205311, , 
        -0.64,     0.2070131, , 
        -0.62,      0.208648, , 
         -0.6,     0.2103501, , 
        -0.58,     0.2119848, , 
        -0.56,     0.2136866, , 
        -0.54,     0.2153212, , 
        -0.52,      0.217023, , 
         -0.5,     0.2186577, , 
        -0.48,     0.2203595, , 
        -0.46,     0.2219941, , 
        -0.44,     0.2236958, , 
        -0.42,     0.2253303, , 
         -0.4,      0.227032, , 
        -0.38,     0.2286665, , 
        -0.36,     0.2303682, , 
        -0.34,     0.2320026, , 
        -0.32,      0.233704, , 
         -0.3,     0.2353381, , 
        -0.28,     0.2370393, , 
        -0.26,     0.2386735, , 
        -0.24,     0.2403745, , 
        -0.22,     0.2420085, , 
         -0.2,     0.2437095, , 
        -0.18,     0.2453434, , 
        -0.16,     0.2470441, , 
        -0.14,     0.2486776, , 
        -0.12,     0.2503782, , 
         -0.1,     0.2520117, , 
        -0.08,     0.2537123, , 
        -0.06,     0.2553459, , 
        -0.04,     0.2570465, , 
        -0.02,       0.25868, , 
            0,     0.2603803, , 
         0.02,     0.2620136, , 
         0.04,      0.263714, , 
         0.06,     0.2653473, , 
         0.08,     0.2670477, , 
          0.1,     0.2686808, , 
         0.12,     0.2703807, , 
         0.14,     0.2720137, , 
         0.16,     0.2737136, , 
         0.18,     0.2753466, , 
          0.2,     0.2770465, , 
         0.22,     0.2786794, , 
         0.24,     0.2803792, , 
         0.26,      0.282012, , 
         0.28,     0.2837117, , 
          0.3,     0.2853445, , 
         0.32,     0.2870442, , 
         0.34,     0.2886768, , 
         0.36,     0.2903762, , 
         0.38,     0.2920085, , 
          0.4,     0.2937076, , 
         0.42,     0.2953398, , 
         0.44,     0.2970388, , 
         0.46,     0.2986707, , 
         0.48,     0.3003696, , 
          0.5,     0.3020016, , 
         0.52,     0.3037001, , 
         0.54,     0.3053315, , 
         0.56,     0.3070298, , 
         0.58,     0.3086613, , 
          0.6,     0.3103596, , 
         0.62,     0.3119911, , 
         0.64,     0.3136894, , 
         0.66,     0.3153209, , 
         0.68,     0.3170189, , 
          0.7,     0.3186501, , 
         0.72,     0.3203481, , 
         0.74,     0.3219793, , 
         0.76,     0.3236773, , 
         0.78,     0.3253084, , 
          0.8,     0.3270058, , 
         0.82,     0.3286365, , 
         0.84,      0.330334, , 
         0.86,     0.3319647, , 
         0.88,     0.3336622, , 
          0.9,     0.3352929, , 
         0.92,     0.3369901, , 
         0.94,     0.3386206, , 
         0.96,     0.3403178, , 
         0.98,     0.3419483, , 
            1,     0.3436455, , 
         1.02,     0.3452759, , 
         1.04,     0.3469728, , 
         1.06,     0.3486026, , 
         1.08,     0.3502991, , 
          1.1,     0.3519289, , 
         1.12,     0.3536252, , 
         1.14,     0.3552547, , 
         1.16,     0.3569509, , 
         1.18,     0.3585804, , 
          1.2,     0.3602763, , 
         1.22,     0.3619052, , 
         1.24,     0.3636007, , 
         1.26,     0.3652296, , 
         1.28,     0.3669252, , 
          1.3,     0.3685541, , 
         1.32,     0.3702496, , 
         1.34,     0.3718786, , 
         1.36,     0.3735737, , 
         1.38,     0.3752022, , 
          1.4,     0.3768974, , 
         1.42,      0.378526, , 
         1.44,     0.3802211, , 
         1.46,     0.3818496, , 
         1.48,     0.3835441, , 
          1.5,     0.3851721, , 
         1.52,     0.3868666, , 
         1.54,     0.3884946, , 
         1.56,      0.390189, , 
         1.58,      0.391817, , 
          1.6,     0.3935111, , 
         1.62,     0.3951388, , 
         1.64,      0.396833, , 
         1.66,     0.3984607, , 
         1.68,     0.4001548, , 
          1.7,     0.4017823, , 
         1.72,     0.4034762, , 
         1.74,     0.4051551, , 
         1.76,     0.4067731, , 
         1.78,      0.408462, , 
          1.8,     0.4100861, , 
         1.82,     0.4117777, , 
         1.84,     0.4134034, , 
         1.86,     0.4150959, , 
         1.88,     0.4167741, , 
          1.9,     0.4183908, , 
         1.92,     0.4200785, , 
         1.94,     0.4217016, , 
