Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.041361, , 
       -14.75,     -1.022092, , 
        -14.5,     -1.003352, , 
       -14.25,    -0.9844559, , 
          -14,    -0.9655196, , 
       -13.75,    -0.9464215, , 
        -13.5,    -0.9272632, , 
       -13.25,    -0.9080168, , 
          -13,    -0.8886735, , 
       -12.75,    -0.8692456, , 
        -12.5,    -0.8497636, , 
       -12.25,    -0.8301977, , 
          -12,    -0.8105693, , 
       -11.75,    -0.7908958, , 
        -11.5,    -0.7711402, , 
       -11.25,    -0.7513436, , 
          -11,     -0.731508, , 
       -10.75,    -0.7115963, , 
        -10.5,    -0.6916551, , 
       -10.25,    -0.6716651, , 
          -10,     -0.651629, , 
        -9.75,    -0.6315577, , 
         -9.5,    -0.6114534, , 
        -9.25,    -0.5913068, , 
           -9,    -0.5711224, , 
        -8.75,    -0.5509146, , 
         -8.5,    -0.5306692, , 
        -8.25,    -0.5103978, , 
           -8,    -0.4900969, , 
        -7.75,    -0.4697681, , 
         -7.5,    -0.4494181, , 
        -7.25,    -0.4290416, , 
           -7,    -0.4086443, , 
        -6.75,    -0.3882227, , 
         -6.5,    -0.3677842, , 
        -6.25,    -0.3473272, , 
           -6,    -0.3268486, , 
        -5.75,    -0.3063591, , 
         -5.5,    -0.2858487, , 
        -5.25,    -0.2653267, , 
           -5,    -0.2447913, , 
        -4.75,    -0.2242411, , 
         -4.5,    -0.2036827, , 
        -4.25,    -0.1831105, , 
           -4,    -0.1625311, , 
        -3.75,    -0.1419412, , 
         -3.5,     -0.121345, , 
        -3.25,    -0.1007414, , 
           -3,   -0.08012773, , 
        -2.75,   -0.05951396, , 
         -2.5,   -0.03889596, , 
        -2.25,   -0.01827519, , 
           -2,    0.00234549, , 
        -1.75,     0.0229723, , 
         -1.5,    0.04359908, , 
        -1.25,    0.06422524, , 
           -1,    0.08485004, , 
        -0.75,     0.1054745, , 
         -0.5,     0.1260947, , 
        -0.25,     0.1467119, , 
            0,     0.1673251, , 
         0.25,     0.1879326, , 
          0.5,     0.2085349, , 
         0.75,      0.229128, , 
            1,      0.249716, , 
         1.25,     0.2702928, , 
          1.5,     0.2908612, , 
         1.75,     0.3114205, , 
            2,     0.3319644, , 
         2.25,     0.3525006, , 
          2.5,     0.3730196, , 
         2.75,     0.3935247, , 
            3,     0.4140173, , 
         3.25,     0.4344918, , 
          3.5,     0.4549491, , 
         3.75,     0.4753869, , 
            4,     0.4958093, , 
         4.25,     0.5162079, , 
          4.5,     0.5365834, , 
         4.75,     0.5569409, , 
            5,     0.5772685, , 
         5.25,     0.5975774, , 
          5.5,     0.6178584, , 
         5.75,      0.638106, , 
            6,     0.6583275, , 
         6.25,     0.6785246, , 
          6.5,     0.6986842, , 
         6.75,     0.7188068, , 
            7,     0.7389083, , 
         7.25,     0.7589542, , 
          7.5,     0.7789689, , 
         7.75,     0.7989575, , 
            8,     0.8188837, , 
         8.25,     0.8387751, , 
          8.5,     0.8586284, , 
         8.75,     0.8784159, , 
            9,     0.8981657, , 
         9.25,     0.9178653, , 
          9.5,     0.9374954, , 
         9.75,     0.9570919, , 
           10,     0.9766004, , 
        10.25,     0.9960515, , 
         10.5,      1.015461, , 
        10.75,      1.034758, , 
           11,      1.054018, , 
        11.25,      1.073181, , 
         11.5,      1.092298, , 
        11.75,      1.111271, , 
           12,      1.130194, , 
        12.25,      1.149026, , 
         12.5,      1.167705, , 
        12.75,        1.1863, , 
           13,       1.20477, , 
        13.25,      1.223083, , 
         13.5,      1.241308, , 
        13.75,      1.259319, , 
           14,      1.277201, , 
        14.25,      1.294879, , 
         14.5,      1.312309, , 
        14.75,      1.329244, , 
           15,      1.345903, , 
        15.25,      1.362458, , 
         15.5,      1.378708, , 
        15.75,      1.394771, , 
           16,       1.41032, , 
        16.25,      1.425441, , 
         16.5,      1.440469, , 
        16.75,      1.455052, , 
           17,      1.469009, , 
        17.25,      1.482706, , 
         17.5,      1.495993, , 
        17.75,       1.50905, , 
           18,      1.521653, , 
        18.25,      1.533631, , 
         18.5,       1.54518, , 
        18.75,      1.555781, , 

