Alpha,T1-38.9 m/s-LLT, , 
          -15,     -1.027716, , 
       -14.75,     -1.009073, , 
        -14.5,    -0.9907789, , 
       -14.25,    -0.9722941, , 
          -14,    -0.9537157, , 
       -13.75,    -0.9350117, , 
        -13.5,    -0.9161617, , 
       -13.25,    -0.8972355, , 
          -13,    -0.8781905, , 
       -12.75,    -0.8590705, , 
        -12.5,    -0.8398811, , 
       -12.25,    -0.8205813, , 
          -12,    -0.8012529, , 
       -11.75,     -0.781819, , 
        -11.5,    -0.7623413, , 
       -11.25,    -0.7428213, , 
          -11,    -0.7231993, , 
       -10.75,    -0.7035631, , 
        -10.5,    -0.6838641, , 
       -10.25,    -0.6641054, , 
          -10,    -0.6443247, , 
        -9.75,    -0.6245035, , 
         -9.5,    -0.6046267, , 
        -9.25,    -0.5847221, , 
           -9,    -0.5647812, , 
        -8.75,     -0.544799, , 
         -8.5,    -0.5247894, , 
        -8.25,    -0.5047523, , 
           -8,    -0.4846826, , 
        -7.75,    -0.4645856, , 
         -7.5,    -0.4444652, , 
        -7.25,    -0.4243193, , 
           -7,    -0.4041508, , 
        -6.75,    -0.3839573, , 
         -6.5,    -0.3637469, , 
        -6.25,    -0.3435172, , 
           -6,    -0.3232697, , 
        -5.75,    -0.3030036, , 
         -5.5,    -0.2827229, , 
        -5.25,     -0.262426, , 
           -5,    -0.2421163, , 
        -4.75,     -0.221794, , 
         -4.5,    -0.2014601, , 
        -4.25,    -0.1811158, , 
           -4,    -0.1607604, , 
        -3.75,    -0.1403975, , 
         -3.5,    -0.1200258, , 
        -3.25,   -0.09964668, , 
           -3,   -0.07925912, , 
        -2.75,    -0.0588698, , 
         -2.5,   -0.03847713, , 
        -2.25,   -0.01808199, , 
           -2,   0.002313112, , 
        -1.75,     0.0227147, , 
         -1.5,    0.04311631, , 
        -1.25,    0.06351735, , 
           -1,    0.08391722, , 
        -0.75,     0.1043159, , 
         -0.5,     0.1247111, , 
        -0.25,     0.1451032, , 
            0,     0.1654903, , 
         0.25,     0.1858729, , 
          0.5,     0.2062484, , 
         0.75,     0.2266173, , 
            1,     0.2469776, , 
         1.25,     0.2673297, , 
          1.5,      0.287672, , 
         1.75,     0.3080028, , 
            2,      0.328323, , 
         2.25,     0.3486285, , 
          2.5,     0.3689214, , 
         2.75,     0.3892003, , 
            3,     0.4094653, , 
         3.25,      0.429711, , 
          3.5,       0.44994, , 
         3.75,     0.4701488, , 
            4,     0.4903398, , 
         4.25,     0.5105108, , 
          4.5,     0.5306556, , 
         4.75,     0.5507781, , 
            5,     0.5708814, , 
         5.25,     0.5909522, , 
          5.5,     0.6109949, , 
         5.75,     0.6310168, , 
            6,     0.6510019, , 
         6.25,     0.6709499, , 
          6.5,     0.6908788, , 
         6.75,     0.7107692, , 
            7,     0.7306104, , 
         7.25,     0.7504413, , 
          7.5,     0.7702018, , 
         7.75,     0.7899293, , 
            8,     0.8096298, , 
         8.25,     0.8292538, , 
          8.5,     0.8488582, , 
         8.75,     0.8683907, , 
            9,     0.8878742, , 
         9.25,     0.9073111, , 
          9.5,     0.9266724, , 
         9.75,     0.9459893, , 
           10,     0.9652188, , 
        10.25,     0.9843989, , 
         10.5,      1.003489, , 
        10.75,      1.022505, , 
           11,      1.041435, , 
        11.25,      1.060271, , 
         11.5,      1.079049, , 
        11.75,      1.097641, , 
           12,      1.116176, , 
        12.25,      1.134545, , 
         12.5,      1.152776, , 
        12.75,      1.170797, , 
           13,      1.188661, , 
        13.25,      1.206288, , 
         13.5,      1.223826, , 
        13.75,      1.241154, , 
           14,      1.258253, , 
        14.25,      1.275196, , 
         14.5,      1.291654, , 
        14.75,      1.308012, , 
           15,      1.324215, , 
        15.25,      1.340087, , 
         15.5,      1.355674, , 
        15.75,      1.370919, , 
           16,       1.38558, , 
        16.25,      1.399894, , 
         16.5,      1.413965, , 

