Cl,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
   -0.7114612,      0.234226, , 
   -0.6972957,     0.2279796, , 
   -0.6787276,     0.2208246, , 
   -0.6625351,     0.2142473, , 
   -0.6527418,     0.2086801, , 
   -0.6323028,       0.20046, , 
   -0.6169373,     0.1937699, , 
   -0.6130805,     0.1881167, , 
   -0.5897064,     0.1798024, , 
    -0.585186,     0.1735556, , 
    -0.566155,     0.1656547, , 
   -0.5547599,     0.1585961, , 
     -0.54522,     0.1510655, , 
    -0.536866,     0.1434226, , 
   -0.5296233,     0.1356253, , 
   -0.5235937,     0.1276531, , 
    -0.518834,      0.119486, , 
   -0.5154772,     0.1110585, , 
   -0.5138295,     0.1022907, , 
    -0.514488,    0.09294658, , 
   -0.5187041,    0.08244955, , 
   -0.5260683,    0.06858672, , 
   -0.5250083,    0.05366758, , 
    -0.508741,    0.04146777, , 
   -0.4759743,    0.03249198, , 
   -0.4308576,    0.02634405, , 
   -0.3796484,    0.02209863, , 
   -0.3291961,    0.01932711, , 
   -0.2780313,    0.01784326, , 
   -0.2247896,     0.0171484, , 
    -0.170895,     0.0167465, , 
   -0.1167666,    0.01646742, , 
  -0.06251687,    0.01626703, , 
 -0.008199057,    0.01612656, , 
   0.04614565,    0.01603655, , 
    0.1004753,    0.01599193, , 
    0.1547669,    0.01598885, , 
    0.2089876,    0.01602316, , 
    0.2631075,    0.01609478, , 
    0.3170938,    0.01620214, , 
    0.3709181,    0.01634482, , 
    0.4245485,    0.01652367, , 
     0.477943,    0.01674018, , 
    0.5310679,    0.01699604, , 
    0.5838706,    0.01729471, , 
    0.6363062,    0.01764004, , 
    0.6883282,    0.01803734, , 
    0.7397801,    0.01849442, , 
    0.7904998,    0.01902242, , 
    0.8403851,    0.01964416, , 
    0.8890291,    0.02041769, , 
    0.9346375,    0.02159239, , 
     1.008291,    0.02728723, , 
     1.059026,    0.03161672, , 
     1.102537,    0.03595288, , 
     1.137834,    0.04106403, , 
     1.160025,    0.04697004, , 
     1.164599,      0.054786, , 
     1.061739,    0.07577184, , 
    0.9866946,    0.09162841, , 
    0.9091317,     0.1194354, , 
    0.8797403,     0.1383064, , 
    0.8679191,     0.1521326, , 
    0.8642806,     0.1641067, , 
    0.8655934,     0.1749401, , 
    0.8703089,     0.1849814, , 
    0.8772768,     0.1943543, , 
     0.886328,     0.2032541, , 
    0.8970472,      0.211824, , 
    0.9090801,     0.2201319, , 
    0.9223702,     0.2279007, , 
    0.9468573,     0.2358321, , 
    0.9503306,     0.2429202, , 
     0.968959,     0.2497658, , 
    0.9801265,     0.2573309, , 
    0.9977198,     0.2638777, , 

