Cl,T1_Re0.145_M0.00_N9.0_XtrTop 5%_XtrBot 5%, , 
   -0.4189426,     0.1901283, , 
   -0.4081688,     0.1853561, , 
   -0.3998144,     0.1803264, , 
   -0.3917629,     0.1753118, , 
   -0.3841268,     0.1702963, , 
   -0.3770345,     0.1652887, , 
   -0.3706529,     0.1602782, , 
    -0.365202,     0.1552576, , 
    -0.361001,     0.1502214, , 
   -0.3585701,     0.1451852, , 
    -0.358933,     0.1402183, , 
   -0.3636624,     0.1353849, , 
    -0.367597,     0.1290447, , 
   -0.3732038,     0.1215552, , 
   -0.3814294,     0.1127629, , 
   -0.3959097,     0.1023155, , 
   -0.4246998,     0.0887029, , 
   -0.5823998,    0.05023294, , 
   -0.6556136,    0.03867171, , 
    -0.680359,    0.02868407, , 
   -0.6714948,    0.02095525, , 
   -0.6409172,    0.01573237, , 
   -0.6000386,    0.01224384, , 
   -0.5578412,   0.009845834, , 
   -0.5147126,   0.008263261, , 
   -0.4688693,   0.007251307, , 
   -0.4207895,   0.006572875, , 
    -0.371385,   0.006083374, , 
   -0.3211905,   0.005708402, , 
   -0.2704729,   0.005411865, , 
   -0.2193835,   0.005175735, , 
   -0.1680168,   0.004988282, , 
   -0.1164535,   0.004841828, , 
  -0.06475786,   0.004731671, , 
   -0.0129817,   0.004653482, , 
   0.03882653,   0.004604202, , 
   0.09061807,    0.00458282, , 
    0.1423461,   0.004587137, , 
    0.1939729,   0.004616643, , 
    0.2454531,   0.004670663, , 
     0.296734,   0.004750115, , 
    0.3477754,   0.004855571, , 
    0.3985275,   0.004987503, , 
    0.4489364,   0.005147337, , 
    0.4989316,   0.005338778, , 
    0.5484552,   0.005563034, , 
    0.5974285,   0.005823059, , 
    0.6457578,   0.006124064, , 
    0.6933383,   0.006470318, , 
    0.7400552,    0.00686698, , 
    0.7857638,   0.007321212, , 
    0.8302507,   0.007840825, , 
     0.873091,   0.008434016, , 
     0.914098,   0.009113636, , 
    0.9528013,   0.009896098, , 
    0.9885212,    0.01080375, , 
     1.017916,    0.01183951, , 
     1.044215,    0.01312757, , 
     1.065753,    0.01480577, , 
     1.079602,    0.01708623, , 
       1.0852,    0.02027475, , 
     1.086284,    0.02452561, , 
     1.091891,    0.02937013, , 
     1.117797,    0.03392678, , 
     1.165352,    0.03914098, , 
      1.17455,    0.04639364, , 
     1.150495,     0.0549655, , 
     1.105532,    0.06504467, , 
     1.045078,    0.07671954, , 
    0.9678639,    0.09025829, , 
    0.8536277,     0.1080608, , 
    0.9153503,     0.2331876, , 
    0.9279018,     0.2413646, , 
    0.9412554,     0.2492264, , 

